ID,场景,区块,名称,初版翻译,其他备选,第三版翻译,
110,Q06,QN05Y,云天河房间,Yun Tianhe Room,,Yun Tianhe Room,
111,Q06,QN06,慕容紫英房间,Murong Ziying Rm,,Murong Ziying Rm,
112,Q06,QN07a,长老房间甲,Elder's Room A,,Elder's Room A,
113,Q06,QN07b,长老房间乙,Elder's Room B,,Elder's Room B,
114,Q06,QN08a,入门弟子房间甲,Novice disciple room A,,Novice disciple room A,
115,Q06,QN08b,入门弟子房间乙,Novice disciple room B,,Novice disciple room B,
116,Q06,QN08c,入门弟子房间丙,Novice disciple room C,,Novice disciple room C,
117,Q06,QN09a,入室弟子房间丁,Inner disciple room D,,Inner disciple room D,
118,Q06,QN09b,入室弟子房间戊,Inner disciple room E,,Inner disciple room E,
119,Q06,QN10,厨房,Kitchen,,Kitchen,
120,Q06,QN11,玄珠心镜,Mystic Mirror,,Mystic Mirror,
121,Q06,QN11Y,玄珠心镜,Mystic Mirror,,Mystic Mirror,
122,Q06,QN12,龙芽道丹,Dragon Pill,,Dragon Pill,
123,Q06,QN12Y,龙芽道丹,Dragon Pill,,Dragon Pill,
124,Q06,QN13,剑阁-水,Pavilion-Water,,Pavilion-Water,
125,Q06,QN14,剑阁-火,Pavilion-Fire,,Pavilion-Fire,
126,Q06,QN15,剑阁-雷,Pavilion-Thunder,,Pavilion-Thunder,
127,Q06,QN16,剑阁-风,Pavilion-Wind,,Pavilion-Wind,
128,Q06,QN17,剑阁-土,Pavilion-Earth,,Pavilion-Earth,
129,Q06,QN18,太一宫,Taiyi Palace,,Taiyi Palace,
130,Q06,QN19,云经阁,Yunjing Pavilion,,Yunjing Pavilion,
131,Q06,QN20,祥符阁,Xiangfu Pavilion,,Xiangfu Pavilion,
132,Q06,QN21,玄女观,Xuannü Temple,,Xuannü Temple,
133,Q06,QN22,万安殿,Wan'an Hall,,Wan'an Hall,
134,Q06,Q06J,卷云台,Cloud Terrace,,Cloud Terrace,
135,Q06,Q06JH,卷云台,Cloud Terrace,,Cloud Terrace,
136,Q06,Q06S,思返谷,Sifan Valley,,Reflection Valley,
137,Q06,Q06SY,思返谷,Sifan Valley,,Reflection Valley,
138,Q06,Q06H,后山禁地,Forbidden Area,,Forbidden Area,
139,Q07,Q07,月牙村,Crescent Village,,Crescent Village,
140,Q07,N02,村长家,Village Chief's House,,Village Chief's House,
141,Q07,N03a,民居甲,Residence A,,Residence A,
142,Q07,N03b,民居乙,Residence B,,Residence B,
143,Q07,N03c,民居丙,Residence C,,Residence C,
144,Q08,Q08,清风涧,Breezy Brook,,Breezy Brook,
145,Q09,Q09,即墨,Jimo,,Jimo,
146,Q09,Q09Y,即墨,Jimo,,Jimo,
147,Q09,N01,安潮客栈大堂,Inn Hall,,Inn Hall,
148,Q09,N01Y,安潮客栈大堂,Inn Hall,,Inn Hall,
149,Q09,N02a,安潮客栈客房甲,InnGuest Room A,,InnGuest Room A,
150,Q09,N02b,安潮客栈客房乙,InnGuest Room B,,InnGuest Room B,
151,Q09,N02aY,安潮客栈客房甲,InnGuest Room A,,InnGuest Room A,
152,Q09,N02bY,安潮客栈客房乙,InnGuest Room B,,InnGuest Room B,
153,Q09,N03,临涛小酌大堂,Sip Hall,,Sip Hall,
154,Q09,N05,慈济堂,Ciji Hall,,Ciji Hall,
155,Q09,N05Y,慈济堂,Ciji Hall,,Ciji Hall,
156,Q09,N06,狐仙庙正堂,Fox Temple MainHall,,Fox Temple MainHall,
157,Q09,N09a,民居甲,Residence A,,Residence A,
158,Q09,N09b,民居乙,Residence B,,Residence B,
159,Q09,N09c,民居丙,Residence C,,Residence C,
160,Q09,N10a,夏元辰家下层,Xia's Lower,,Xia's Lower,
161,Q09,N10b,民居戊下层,Residence E Lower,,Residence E Lower,
162,Q09,N11a,夏元辰家上层,Xia's Upper,,Xia's Upper,
163,Q09,N11b,民居戊上层,Residence E Upper,,Residence E Upper,
164,Q09,N11aY,夏元辰家上层,Xia Yuanchen's Upper,,Xia Yuanchen's Upper,
165,Q09,N11bY,民居戊上层,Residence E Upper,,Residence E Upper,
166,Q10,Q10,居巢国,Juchao Kingdom,,Juchao Kingdom,
167,Q10,N01,铁钺铜爵,Iron Axe Bronze Cup,,Iron Axe Bronze Cup,
168,Q10,N02,万年青,Evergreen,,Evergreen,
169,Q10,N03,聚宝盆,Treasure Basin,,Treasure Basin,
170,Q10,N04,长老居所,Elder's Residence,,Elder's Residence,
171,Q10,N05,巢神殿,Nest Temple,,Nest Temple,
172,Q10,N06a,民居甲,Residence A,,Residence A,
173,Q10,N06b,民居乙,Residence B,,Residence B,
174,Q10,N06c,民居丙,Residence C,,Residence C,
175,Q10,N06d,民居丁,Residence D,,Residence D,
176,Q10,N07a,民居戊,Residence Wu,,Residence Wu,
177,Q10,N07b,民居已,Residential house,,Residential house,
178,Q10,N07c,民居庚,Residence Geng,,Residence Geng,
179,Q10,N07d,民居辛,Residence Xin,,Residence Xin,
180,Q10,N07e,民居壬,Residence Ren,,Residence Ren,
181,Q11,Q11W,无常殿,Impermanence Hall,,Impermanence Hall,
182,Q11,WN01,灼星铸魂,Forges Soul,,Forges Soul,
183,Q11,WN02,招魂司,Soul Summoner,,Soul Summoner,
184,Q11,WN03,司房甲,Sifang A,,Sifang A,
185,Q11,WN04,司房乙,Sifang Yi,,Sifang Yi,
186,Q11,WN05a,鬼卒房间甲,Ghost Room A,,Ghost Room A,
187,Q11,WN05b,鬼卒房间乙,Ghost Room B,,Ghost Room B,
188,Q11,WN05c,鬼卒房间丙,Ghost  Room C,,Ghost  Room C,
189,Q11,Q11Z,转轮镜台,Mirror Platform,,Mirror Platform,
190,Q12,Q12,青竹船,Bamboo Boat,,Bamboo Boat,
191,Q13,Q13,酆都,Fengdu,,Fengdu,
192,Q13,N01,辟邪铁铺,Iron Shop,,Iron Shop,
193,Q13,N02,祥福杂货,Sundries,,Sundries,
194,Q13,N03,回春药栈,Medicine Shop,,Medicine Shop,
195,Q13,N041,浮生小筑下层,Cottage lower floor,,Cottage lower floor,
196,Q13,N042,浮生小筑上层,Cottage upper floor,,Cottage upper floor,
197,Q13,N05,符法堂,Talisman Hall,,Talisman Hall,
198,Q13,N06,旺财记,Wangcai's Tale,,Wangcai's Tale,
199,Q13,N07a,民居甲,Residence A,,Residence A,
200,Q13,N07b,民居乙,Residence B,,Residence B,
201,Q13,N07c,民居丙,Residence C,,Residence C,
202,Q13,N08a,民居丁,Residence D,,Residence D,
203,Q13,N08b,民居戊,Residence Wu,,Residence Wu,
204,Q13,N08c,民居已,Residential house,,Residential house,
205,Q13,N08d,民居庚,Residence Geng,,Residence Geng,
206,Q14,Q14W,幻瞑界外围,Twilight Realm Outer,,Twilight Realm Outer,
207,Q14,Q14B,旋梦,Xuán Mèng,,Spindream,
208,Q14,BN01,月神殿,Moon God Temple,,Moon God Temple,
209,Q14,BN02,战堂,War Hall,,War Hall,
210,Q14,BN03,冷焰寮,Cold Flame Lodge,,Cold Flame Lodge,
211,Q14,BN04,绮梦幽实,Fantasy Dream Fruit,,Fantasy Dream Fruit,
212,Q14,BN05,幻境乾坤,Twilight Universe,,Twilight Universe,
213,Q14,BN06,幻瞑宫,twilight Palace,,twilight Palace,
214,Q14,BN07a,民居甲,Residence A,,Residence A,
215,Q14,BN07b,民居乙,Residence B,,Residence B,
216,Q14,BN07c,民居丙,Residence C,,Residence C,
217,Q14,BN07d,民居丁,Residence D,,Residence D,
218,Q14,BN07e,民居戊,Residence Wu,,Residence Wu,
219,Q14,BN08a,民居已,Residential house,,Residential house,
220,Q14,BN08b,民居庚,Residence Geng,,Residence Geng,
221,Q14,BN08c,民居辛,Residence Xin,,Residence Xin,
222,Q14,BN08d,民居壬,Residence Ren,,Residence Ren,
223,Q14,Q14L,里之旋梦,Inner Xuán Mèng,,Inner Spindream,
224,Q14,LN01,里幻瞑宫,Innertwilight Palace,,Inner Twilight Palace,
225,M01,1,石沉溪洞,Stone Sink Cave,,Stone Sink Cave,
226,M01,2,石沉溪洞密室,Stone Sink Cave secret room,,Cave secret room,
227,M01,3,石沉溪洞,Stone Sink Cave,,Stone Sink Cave,
228,M02,1,紫云架顶部,Violet Ledge Top,,Violet Ledge Top,
229,M02,3,紫云架底部,Violet Ledge Bottom,,Violet Ledge Bottom,
230,M03,1,湖边树林,Lakeside Forest,,Lakeside Forest,
231,M03,1Y,湖边树林,Lakeside Forest,,Lakeside Forest,
232,M03,3,百翎洲,Bailing Island,,Bailing Island,
233,M04,1,柳府,Liu Residence,,Liu Residence,
234,M05,1,八公山,Bagong Mountain,,Bagong Mountain,
235,M06,1a,女萝岩一层,NvLuo 1F,,NvLuo 1F,
236,M06,1b,女萝岩二层,NvLuo 2F,,NvLuo 2F,
237,M06,1c,女萝岩五层东,NvLuo 5F East,,NvLuo 5F East,
238,M06,1d,女萝岩六层西,NvLuo 6F West,,NvLuo 6F West,
239,M06,1e,女萝岩六层东,NvLuo 6F East,,NvLuo 6F East,
240,M06,2a,女萝岩三层西,NvLuo 3F West,,NvLuo 3F West,
241,M06,2b,女萝岩四层东,NvLuo 4F East,,NvLuo 4F East,
242,M06,2c,女萝岩五层西,NvLuo 5F West,,NvLuo 5F West,
243,M06,2d,女萝岩六层中,NvLuo 6F Center,,NvLuo 6F Center,
244,M06,2e,女萝岩七层西,NvLuo 7F West,,NvLuo 7F West,
245,M06,3a,女萝岩三层东,NvLuo 3F East,,NvLuo 3F East,
246,M06,3b,女萝岩四层西,NvLuo 4F West,,NvLuo 4F West,
247,M06,4,女萝岩七层东,NvLuo 7F East,,NvLuo 7F East,
248,M07,1,前厅,Front Hall,,Front Hall,
249,M07,2,通道一,Passage One,,Passage One,
250,M07,3,前殿,Front Hall,,Front Hall,
251,M07,4,后殿,Rear Hall,,Rear Hall,
252,M07,5,通道二,Passage Two,,Passage Two,
253,M07,6,丹室,Alchemy Room,,Alchemy Room,
254,M07,7,通道三,Passage Three,,Passage Three,
255,M07,8,通道四,Passage Four,,Passage Four,
256,M07,9,碗丘山,Bowl Hill,,Bowl Hill,
257,M07,10a,墓室甲,Tomb Chamber A,,Tomb Chamber A,
258,M07,10b,墓室乙,Tomb Chamber B,,Tomb Chamber B,
259,M07,10c,墓室丙,Tomb C,,Tomb C,
260,M07,11a,炼丹室甲,Alchemy Room A,,Alchemy Room A,
261,M07,11b,炼丹室乙,Alchemy Room B,,Alchemy Room B,
262,M08,1,千佛塔一层,Buddha Pag. 1F,,Buddha Pag. 1F,
263,M08,2,千佛塔二、三层,Buddha Pag. 2F&3F,,Pag. 2F&3F,
264,M08,3,千佛塔四、五层,Buddha Pag. 4F&5F,,Pag. 4F&5F,
265,M08,4,千佛塔六、七层,Buddha Pag. 6F&7F,,Pag. 6F&7F,
266,M08,5,千佛塔八层,Buddha Pag. 8f,,Pag. 8f,
267,M09,1,紫微道,Ziwei Path,,Ziwei Path,
268,M09,2,白灏道,BaiHao Path,,BaiHao Path,
269,M09,3,寂玄道,Jixuan Path,,Jixuan Path,
270,M10,1,须臾幻境－酒,Illusion-Wine,,Illusion-Wine,
271,M10,10,须臾幻境－财,Illusion-Wealth,,Illusion-Wealth,
272,M11,1,月牙河谷,Crescent Valley,,Crescent Valley,
273,M12,1,醉花荫,Drunken Bower,,Drunken Bower,
274,M13,1,狐仙居,Fox Immortal's Abode,,Fox Immortal's Abode,
275,M14,1,烈焰洞,Flame Cave,,Flame Cave,
276,M14,2,月幽之境,Moonlit Realm,,Moonlit Realm,
277,M14,3,炙焰洞,Blazing Flame Cave,,Blazing Flame Cave,
278,M15,1,不周山,Mount Buzhou,,Mount Buzhou,
279,M15,2,盘龙镇柱,Coiling Dragon Pillar,,Coiling Dragon Pillar,
280,M16,1,放逐渊,Abyss of Exile,,Abyss of Exile,
281,M17,1,封神陵外围,Fengshen Mausoleum Outer Area,,Fengshen Mausoleum Outer Area,
282,M17,2,封神陵,Fengshen Mausoleum,,Fengshen Mausoleum,
283,M17,3,南宫一层,Nangong 1F,,Nangong 1F,
284,M17,4,南宫二层,Nangong 2F,,Nangong 2F,
285,M17,5,封神宫一层,Fengshen 1F,,Fengshen 1F,
286,M18,1,幻瞑界外围,Illusory Dream Outer,,Illusory Dream Outer,
287,M19,1,前山,Front Mountain,,Front Mountain,
288,M19,2,卷云台,Cloud Terrace,,Cloud Terrace,
289,M20,1,剑林,Sword Forest,,Sword Forest,
290,M20,1Y,剑林,Sword Forest,,Sword Forest,
291,Q04,CN22,欧阳家,Ouyang Family,,Ouyang‘s,
-= Coded by Lionel =-,,,,,,,
