特技说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译
废除特技5560,Abolish Skill 5560,,,Abolish Skill 5560
废除特技5561,Abolish Skill 5561,,,Abolish Skill 5561
废除特技5562,Abolish Skill 5562,,,Abolish Skill 5562
废除特技5563,Abolish Skill 5563,,,Abolish Skill 5563
封咒诀,Sealing Spell,,,Sealing Spell
封咒诀,Sealing Spell,,,Sealing Spell
封咒诀,Sealing Spell,,,Sealing Spell
禁咒诀,Forbidden Spell,,,Forbidden Spell
禁咒诀,Forbidden Spell,,,Forbidden Spell
禁咒诀,Forbidden Spell,,,Forbidden Spell
入定,Meditation,,,Meditation
钟馗醉酒,Zhong Kui Drunk,,,Zhongkui Drunk
踏步裂地,Stomp Earth Split,,,Stomp Quake
风邪空落,Wind Evil Fall,,,Wind Evil Fall
幽冥鬼爪,Nether Ghost Claw,,,Nether Ghost Claw
溅魂爪,Soul Claw,,,Soul Claw
夺魂,Soul Snatch,,,Soul Snatch
琼浆醉,Fine Wine,,,Fine Wine
酒泉飞雨,Wine Spring Rain,,,Wine Spring Rain
散尽千金,Scatter Gold,,,Scatter Gold
招财进宝,Fortune Treasure,,,Fortune Treasure
洒金笺,Sajin Letter,,,Sajin Letter
幻魔索,Demon Binding Rope,,,DemonBindingRope
废除特技5814,Abolish Skill 5814,,,Abolish Skill 5814
狂风利刃,Gale Sharp Blade,,,Gale Sharp Blade
裂石爪,Stone-Splitting Claw,,,Stone-Splitting Claw
绝影刃,Shadow-Severing Blade,,,Shadowless Blade
废除特技5818,Abolish Skill 5818,,,Abolish Skill 5818
暖雾,Warm Mist,,,Warm Mist
裂地袭,Earth-Splitting Assault,,,Earth Split
化神为虚,Spirit to Void,,,Spirit to Void
废除特技5822,Abolish Skill 5822,,,Abolish Skill 5822
废除特技5823,Abolish Skill 5823,,,Abolish Skill 5823
断空绝灭,Void Sever,,,Void Sever
修罗绝杀,Asura Kill,,,Asura Kill
废除特技5826,Abolish Skill 5826,,,Abolish Skill 5826
魔魇之舞,Demon Night Dance,,,Demon Night Dance
废除特技5828,Abolish Skill 5828,,,Abolish Skill 5828
冰翔剑,Ice Soar Sword,,,Ice Soar Sword
九幽淬寒剑,Nether Ice Sword,,,Nether Ice Sword
望舒冰舞,Wangshu Ice Dance,,,Wangshu Ice Dance
水灵引,Water Spirit Pull,,,Water Spirit Pull
剑啸九天,Sword Roar Heavens,,,Sword Roar Heavens
羲和玄炎,Xihe Flame,,,Xihe Flame
废除特技5826,Abolish Skill 5826,,,Abolish Skill 5826
凝冰剑,Ice Blade,,,Ice Blade
归元真诀,Return to Origin,,,Rejuvenation
归元真决,Return to Origin,,,Rejuvenation
召唤冰蛤,Summon Ice Toad,,,Summon Ice Toad
废除特技5841,Abolish Skill 5841,,,Abolish Skill 5841
召唤蟾王,Summon Toad King,,,Summon Toad King
废除特技5901,Abolish Skill 5901,,,Abolish Skill 5901
废除特技5902,Abolish Skill 5902,,,Abolish Skill 5902
废除特技5903,Abolish Skill 5903,,,Abolish Skill 5903
废除特技5904,Abolish Skill 5904,,,Abolish Skill 5904
废除特技5905,Abolish Skill 5905,,,Abolish Skill 5905
废除特技5906,Abolish Skill 5906,,,Abolish Skill 5906
废除特技5907,Abolish Skill 5907,,,Abolish Skill 5907
毒雨,Poison Rain,,,Poison Rain
暖雾,Warm Mist,,,Warm Mist
刺吸术,Siphon Strike,,,Siphon Strike
灵猴探宝,Spirit Monkey Treasure Hunt,,,MonkeyTreasureHunt
野性冲撞,Wild Charge,,,Wild Charge
废除特技15006,Abolish Skill 15006,,,Abolish Skill 15006
毒雨,Poison Rain,,,Poison Rain
摆尾袭,Tail Strike,,,Tail Strike
地裂绞杀,Earth Split Strangle,,,Earth Split Strangle
废除特技15010,Abolish Skill 15010,,,Abolish Skill 15010
刺吸术,Siphon Strike,,,Siphon Strike
绞杀藤,Strangling Vine,,,Strangling Vine
虎啸山林,Tiger Roars Mt.,,,Tiger Roars Mt.
废除特技15014,Abolish Skill 15014,,,Abolish Skill 15014
毒焰,Poison Flame,,,Poison Flame
金蛇狂舞,Golden Snake Frenzy,,,Golden Snake Frenzy
毒瘴,Poisonous Miasma,,,Poisonous Miasma
毒焰,Poison Flame,,,Poison Flame
毒沼,Poison Swamp,,,Poison Swamp
灵血咒,Spirit Blood Curse,,,Spirit Blood Curse
灵血咒,Spirit Blood Curse,,,Spirit Blood Curse
吸精蛊,Absorb HP Bug,,,Absorb HP Bug
召鬼,Summon Ghost,,,Summon Ghost
夺魂,Soul Snatch,,,Soul Snatch
毒雷,Poison Thunder,,,Poison Thunder
奔雷杵,Thunder Mace,,,Thunder Mace
震地杵,Quake Pestle,,,Quake Pestle
菩提心法,Bodhi Heart Tech,,,Bodhi Heart Tech
禁咒诀,Forbidden Spell,,,Forbidden Spell
束身定,Restraint,,,Restraint
佛光普照,Buddha Light,,,Buddha Light
盾击术,Shield Strike,,,Shield Strike
盾击术,Shield Strike,,,Shield Strike
三重心啸,Triple Heart Roar,,,Triple Heart Roar
毒雨,Poison Rain,,,Poison Rain
野性冲撞,Wild Charge,,,Wild Charge
蛮牛角力,Bull Horn Lock,,,Bull Horn Lock
狐啸,Fox Howl,,,Fox Howl
狐啸,Fox Howl,,,Fox Howl
束身定,Restraint,,,Restraint
毒雨,Poison Rain,,,Poison Rain
一醉千年,Millennium Drunk,,,Millennium Drunk
吉祥如意,Auspicious Wish,,,Auspicious Wish
藤甲术,Rattan Armor Tech,,,Rattan Armor Tech
地裂绞杀,Earth Split Strangle,,,Earth Split Strangle
甩尾袭,Tail Sweep,,,Tail Sweep
毒沼,Poison Swamp,,,Poison Swamp
毒雨,Poison Rain,,,Poison Rain
藤甲术,Rattan Armor Technique,,,Vine Armor
绞杀藤,Strangling Vine,,,Strangling Vine
毒焰,Poison Flame,,,Poison Flame
鬼降,Demon Summoning,,,Demon Summoning
鬼炼狂魔,Ghost Refine Demon,,,Ghost Refine Demon
暴怒掌击,Furious Palm Strike,,,Furious Palm Strike
卷土袭,Earth Surge,,,Earth Surge
地裂,Earth Split,,,Earth Split
烈火浑元珠,Blazing Chaos Pearl,,,Blazing Chaos Pearl
卷羽袭,Feather Whirlwind,,,Feather Whirlwind
废除特技15059,Abolish Skill 15059,,,Abolish Skill 15059
毒雷,Poison Thunder,,,Poison Thunder
幽冥之拥,Nether Embrace,,,Nether Embrace
凶冥绝杀,Ominous Nether Kill,,,Ominous Nether Kill
吸魂咒,Soul Drain,,,Soul Drain
忘魂咒,Forgetful Soul Curse,,,Forgetful Soul Curse
吸魂咒,Soul Drain,,,Soul Drain
鬼禁,Ghost Forbidden,,,Ghost Forbidden
天雷咒,Thunder Spell,,,Thunder Spell
招魂术,Summoning Spell,,,Summoning Spell
嗜武心魔,Obsession Demon,,,Obsession Demon
鬼杀破,Ghost Kill Break,,,Ghost Kill Break
夺命击,Death Strike,,,Death Strike
吸魂咒,Soul Drain,,,Soul Drain
毒瘴,Poisonous Miasma,,,Poisonous Miasma
横扫千军,Sweep Armies,,,Sweep Armies
暖雾,Warm Mist,,,Warm Mist
金刚咒,Diamond Mantra,,,Diamond Mantra
破风箭,Gale Arrow,,,Gale Arrow
群星闪耀,Stars Shine,,,Stars Shine
开山斧,Mountain Axe,,,Mountain Axe
天罡战气,War Spirit ,,,War Spirit 
禁咒诀,Forbidden Spell,,,Forbidden Spell
废除特技15082,Abolish Skill 15082,,,Abolish Skill 15082
束身定,Restraint,,,Restraint
暖雾,Warm Mist,,,Warm Mist
禁咒诀,Forbidden Spell,,,Forbidden Spell
刺芒剑,Piercing Sword,,,Piercing Sword
太乙剑诀,Taiyi Sword Form,,,Taiyi Sword Form
暖雾,Warm Mist,,,Warm Mist
禁咒诀,Forbidden Spell,,,Forbidden Spell
天罡剑阵,Sword Formation,,,Sword Formation
镇邪破,Evil Break,,,Evil Break
吸魂咒,Soul Drain,,,Soul Drain
水镜,Water Mirror,,,Water Mirror
雷壁,Thunder Wall,,,Thunder Wall
雷界,Thunder Realm,,,Thunder Realm
风隐,Wind Concealment,,,Wind Concealment
定气,Focus,,,Focus
特效挂载,Sp. Effect Mount,,,Sp. Effect Mount
特效挂载,Sp. Effect Mount,,,Sp. Effect Mount
羲和斩,Xihe Slash,,,Xihe Slash
定气,Focus,,,Focus
驱散,Dispel,,,Dispel
