ID,仙术名称,第一版翻译,第二版翻译,其他备选
13016,旋风咒,Whirlwind Spell,Whirlwind  ,
13017,旋风咒,Whirlwind Spell,Whirlwind  ,
13018,风声鹤唳,Wind Sound Crane's Cry,Crane Cry  ,
13019,冰刺,Ice Spike,Ice Spike  ,
13020,冰刺,Ice Spike,Ice Spike  ,
13021,云之幻境,Cloud Illusion Realm,Cloud Mirage  ,
13022,邪风术,Evil Wind Technique,Evil Wind  ,
13023,业火,Hellfire,Hellfire  ,
13024,怒炎,Furious Flame,Ragefire  ,
13025,业火,Hellfire,Hellfire  ,
13026,爆烈袭,Explosive Strike,Burst Strike  ,
13027,爆烈袭,Explosive Strike,Burst Strike  ,
13028,怒炎,Furious Flame,Ragefire  ,
13029,狂雷,Thunder Fury,Wild Thunder  ,
13030,爆烈袭,Explosive Strike,Burst Strike  ,
13031,狂雷,Thunder Fury,Wild Thunder  ,
13032,离火,Fire Spell,Li Fire  ,
13033,离火,Fire Spell,Li Fire  ,
13034,风归云隐,"Wind Returns, Cloud Hides",Vanish Wind  ,
13035,风声鹤唳,Wind Sound Crane's Cry,Crane Cry  ,
13036,艮山壁障,Gen Mountain Barrier,Mountain Barrier  ,
13037,炎咒,Fire Spell,Scorch  ,
13038,三昧真火,Samadhi True Fire,Fire Ring  ,
13039,承天载物,Bear Heaven and Carry Earth,Tranquility  ,
13040,土咒,Earth Spell,Upheaval  ,
13041,雷咒,Thunder Spell,Shock  ,
13042,惊雷闪,Thunder Flash,Bolt Rain  ,
13043,如沐春风,Like a Spring Breeze,Spring Breeze  ,
13044,冰咒,Ice Spell,Icicle  ,
13045,风咒,Wind Spell,Gust  ,
13046,风咒,Wind Spell,Gust,
