source,target
狐仙居,Fox Immortal's Abode
即墨,Jimo
清风涧,Breezy Brook
青鸾峰,Qingluan Peak
昆仑琼华派,Kunlun Qionghua Sect
神农洞,Shennong Cave
寿阳城,Shouyang City
太平村,Taiping Village
太一仙径,Taiyi Immortal Path
月牙村,Crescent Village
月牙河谷,Crescent Valley
紫云架,Violet Ledge
陈州,Chenzhou
居巢国,Juchao Kingdom
醉花荫,Drunken Bower
石沉溪洞,Stone Sink Cave
南疆,Southern Frontier
中原,Central Plains
无常殿,Hall of Impermanence
神界,celestial realm
百翎洲,Bailing Island
山门,Sect Gate
清修净地,place of pure cultivation
千斗酒坊,Bottomless Cup
龙芽道丹,Longya Medicines
月幽之境,Moonlit Vale
放逐渊,Exile Abyss
旋梦,Spindream
里旋梦,Inner Spindream
外旋梦,Outer Spindream
————,————
物品/行为/其他抽象名词概念,translation
仙法,immortal arts
修为,cultivation
修仙,cultivate immortality
修道,cultivation
剑法,sword technique
凤凰花,phoenix flower
宝剑,precious sword
水灵珠,Water Spirit Pearl
灵气,spiritual energy
神兵,divine weapon
衙门,yamen
皇帝,emperor
粉折,wide rice noodles
徐娘半老,already past her prime
离香草,Parting Herb
大盗,great bandit
仙术,immortal arts
巫祝,Shaman
机关,mechanism
机关术,mechanical arts
机关人,mechanical puppet
妖怪,yaoguai
妖怪,monster
妖怪,fiend
妖孽,evil creature
妖孽,yaoguai
妖气,yao aura
妖界,yao realm
山神,Mountain God
猪妖,pig fiend
槐妖,sophoramon
水妖,water demon
女妖,she-yao
走火入魔,fall into demonic madness
魔剑,Fellblade
天轨,celestial orbits
赤雪流珠丹,Red-Snow Pearl Pill
阴阳紫阙,Yin-Yang Celestial Jades
阴阳紫阕,Yin-Yang Celestial Jades
双剑（双手剑）,twin swords
双剑（特指琼华双剑）,dual swords
梦见樽,dreaming vessel
点心/糕点,dimsim
余孽,remnants
散仙,Rogue Immortal
泥泥狗,clay-clay dog
翳影枝,Shadowveil Sprig
御剑,Sword Flight
脸红,flushed
御剑飞行,Sword Flight
生死离别,parting and death
手记,journal
宿主,host
天光,radiance
昆仑天光处,Kunlun radiance site
天道,heavenly way
天道,way of heavens
马贼,mounted bandit
凝冰诀,Cryomancy
水息之术, Sub-aqua-hale Technique
————,————
习语,translation
我命由我不由天,"My fate is mine to command, not Heaven's"
不仁不义,heartless & ruthless
天地不仁,Heaven are heartless
话是这么说没错,"That's true, (but)..."
汝,ye
汝,thy
吾,I
天机不可泄露,heaven's secrets must not be divulged
眼光不错,have a good eye
桃花劫,peach blossom encounter
一个愿打一个愿挨,it takes two to tango
否极泰来, it never rains but it pours  
先破后立, a step backward to leap forward

[百年之后……],[A hundred winters passed...]
……你来了,...You've come.
“紫英……这些年来，过得可好？”,"Ziying... How have you been all these years?"
“……无所谓好或不好，人生一场虚空大梦，韶华白首，不过转瞬。”, "...Good or bad, it matters not. Life is but an empty dream. Youth fades to white — is a mere blink.."
惟有天道恒在，往复循环，不曾更改……,"Only the Heavenly Way is eternal, cycling round and round, never changing…"
“你……他们等你很久了，一定有许多话要说，我先回剑冢……”,"You... They've waited for you a long time. There must be much to say. ... Back to the Sword Tomb...."
[爱妻韩菱纱之墓],[Beloved Wife - Han Lingsha's Grave]

不应该放弃,We shall not give up
直到失去的那一刻,until the very moment of loss.

我们见过多少~,How many have we seen~
在奋斗中无奈放弃的人,those who reluctantly gave up in struggle,
无责任随意来去的人,those who came and left irresponsibly,
热情支持甚至揣著零钱来购买仙剑的人,those who passionately supported us, even buying S&F with their coins—
能忘记他们的脸吗？,Can we forget their faces?
不能！,No!
为了他们,For them,
我们要坚持下去,we must persevere,
因为有这样的~义务~,because we have this kind of duty.

哪帕环境恶劣,Even if the environment is harsh,
但是, but,
谁说今日不能认认真真地做仙剑四,who says we cannot make S&F4 with all our heart today?
不是吗？,Isn't that right?
笑~,Smile~

谨以此片感谢:,This cut is dedicated with thanks to:
正版玩家的支持,the support of legitimate players,
两年来一起奋斗的战友,the comrades who fought alongside us for two years,
一同经历恶劣环境的同业公司,the fellow companies that endured the harsh environment with us,
以及未来还会继续奋斗的朋友,and the friends who will continue to strive in the future.

不管仙四最终的评价好坏,Regardless of the final verdict on S&F4,
不管以后是否还有缘相聚一起,regardless of whether fate brings us together again,
在仙剑十四年的风雨是非之中,in the fourteen years of storms and disputes of S&F,
大家又在一起共同刻画了一次人生的烙印,we have together engraved another mark of life.
大宇最小研发团队~上海软星感言,--Words from Softstar Shanghai, the smallest R&D team in Softstar.
