在剧情中出现,物品ID,物品名称,物品说明,物品属性说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,,
,3019,淮王鱼羹,采用肉质肥厚的淮王鱼精心炖制成的鱼羹，味道鲜美，口感嫩滑。,我方单体，回复一定比例精、神，不可在战斗中使用,Huai King Fish Soup,,,Huai FishSoup,,"Fish soup carefully stewed with thick-fleshed Huaiwang fish, delicious and tender in texture.","recover, can't be used in Battle."
Y,3020,醉枣,将白酒和鲜枣混合后密封发酵一段时间制成，醉枣酒香浓郁，脆甜宜人，对身体有滋补作用。,我方单体，回复一定比例精、神，不可在战斗中使用,Drunken Jujube,,,Drunken Jujube,,"Made by mixing white wine and fresh dates, then sealed for fermentation; Drunken Jujube has a rich aroma and crisp sweetness, nourishing for Body.",Single certain proportion of HP and MP
Y,3021,奶茶,将砖茶与鲜奶混合烧制而成，奶香浓郁，提神醒脑，是胡人每日必不可少的饮品。,我方单体，回复一定比例精、神，不可在战斗中使用,Milk Tea,,,Milk Tea,,"Brewed by mixing brick tea with fresh milk, rich in dairy aroma, refreshing and invigorating—an essential daily drink for the Hu people.","recover, can't be used in Battle."
Y,3022,醪酒,使用独特的原料和工艺酿造而成，风味别致，常饮可使人精力充沛。,我方单体，回复一定比例精、神，不可在战斗中使用,Laojiu,,,Laojiu,,"Brewed with Use's unique ingredients and process, distinctive flavor. Regular drinking can make one energetic.",Single certain proportion of HP and MP
Y,3023,孟婆粥,孟婆粥有荤素两种，荤者鲜美，素者清香，传说饮下能够忘却前尘，但世间所见的孟婆粥只是酆都的出名小吃。,我方单体，回复一定比例精、神，不可在战斗中使用,Meng Po's Porridge,,,Meng Porridge,,"Meng Po's Porridge comes in meat and vegetarian versions. The meat one is savory, the veggie one fragrant. Legend says drinking it makes you forget the past, but the Meng Po's Porridge seen in the world is just a famous snack from Fengdu.","recover, can't be used in Battle."
,3024,蜂王蜜,用上等的蜂王浆提炼而成，价格不菲，养身提神。,我方单体，恢复少量精、神,Royal Jelly,,,Royal Jelly,,"Refined from superior royal jelly, Price is precious, nourishing and invigorating.",Single certain proportion of HP and MP
,3025,济生散,江湖中人常备之物，对内、外伤都有一定疗效。,我方单体，恢复中等精、神,Healing Powder,,,Mender Powder,,An item commonly carried by martial artists; has some curative effect on both internal and external injuries.,"recover, can't be used in Battle."
,3026,菩提凝冰露,相传是菩提老祖留下来的秘药，可调息人体气血经脉。,我方单体，恢复大量精、神,Bodhi Ice Dew,,,Bodhi Dew,,"Legendary secret medicine left by Patriarch Bodhi, regulating qi, blood, and meridians.",Single certain proportion of HP and MP
,3027,络灵瑶草,生于天地灵气汇集之地的仙草，食之可使人身轻目明，灵力充盈。,我方单体，灵大增，5回合,NetSpiritJadeGrass,,,Spirit Grass,,"An immortal grass born where the heaven and earth's spiritual energy gathers; consuming it makes the body light, eyes clear, and spiritual power full.","recover, can't be used in Battle."
,3028,扶摇仙果,长于千仞崖上的果子，万年常青，久食便可长生不老。,我方单体，精、神全部恢复,SoaringImmortalFruit,,,Soaring Fruit,,"Fruit grown on thousand-ren cliffs, evergreen for millennia; long-term consumption grants immortality.",Single certain proportion of HP and MP
,3029,还魂香,秘制的奇香，据说能够起死回生。,我方单体，复活，恢复少量精,Soul-Return Incense,Spirit Incense,,Spirit Incense,,"Secretly made rare incense, said to revive the dead.","recover, can't be used in Battle."
,3030,回生仙饮,神女采集瑶草叶片上的香露调配而成，服用可令人绝地逢生。,我方单体，复活，恢复大量精,ReviveImmortalDrink,,,Revival Drink,,Blended from dew on fairy grass leaves collected by goddesses; consuming it can revive from desperate situations.,Single certain proportion of HP and MP
,3031,天香续命露,仙人留下的至宝圣药，可使人起死回生。,我方单体，复活，恢复全部精,HeavenFragr. LifeDew,Vital Dew,,Vital Dew,,"A supreme holy medicine left by an immortal, capable of bringing the dead back to life.","recover, can't be used in Battle."
,3032,血凝精,江湖上常见的良药，补血生肌，醒脑明目。,我方单体，恢复少量精，解眠，狂，乱,Blood-Coag. Essence,,,Clotting Essence,,"A common remedy in the martial world; restores HP, regenerates flesh, clears the mind, and brightens the eyes.",Single certain proportion of HP and MP
,3033,八味檀香散,含八味珍贵药材，又加檀香合炼，补血驱邪、百无禁忌。,我方单体，恢复大量精，解定，封，禁,Sandalwood Powder,,,Sandal Powder,,"Contains eight precious herbs and sandalwood; replenishes blood, dispels evil, with no taboos.","recover, can't be used in Battle."
,3034,寒蟾露,清神明目的良药，只可存放于水晶瓶中，保持其千年寒气不至于逸散。,我方单体，灵略增，5回合,Cold Toad Dew,,,Frost Toad Dew,,A medicine that clears the mind and brightens vision; must be stored in crystal bottles to preserve its millennia-old cold energy.,Single certain proportion of HP and MP\
,3035,火焰草,通体红艳似火的奇草，生性克水。,我方单体，解水毒,Fire Herb,,,Fire Herb,,"Entirely fiery-red miraculous herb, inherently counters water.","recover, can't be used in Battle."
,3036,冰莲絮,冰莲的果实，产于极寒之地，至阴至寒。,我方单体，解火毒,Ice Lotus Petals,,,Frost Lotus,,"Fruit of the ice lotus, born in frigid lands, supremely yin and cold.",Single Small HP and MP Recover
,3037,月寒石,莹润如玉的石头，可将月亮的光华吸收为自身灵力，可解雷毒。,我方单体，解雷毒,Moonfrost Stone,,,Moonfrost Stone,,"A lustrous, jade-like stone that can absorb moonlight as its own spiritual energy, can relieve Thunder Poison.",Single Moderate HP and MP Recover
,3038,过风藤,可解风毒的仙藤，生长于千仞绝壁之上。,我方单体，解风毒,Wind-Passing Vine,,,Wind Vine,,"Vine that can untie Wind Poison, grows on sheer cliffs.",Single Large HP and MP Recover
,3039,土沉叶香,灵杉木的叶子，通体黄褐色，发出的阵阵芳香，可以避毒。,我方单体，解土毒,Earth Leaf Incense,,,Earthleaf Incense,,"A leaf from the Spirit Cedar, yellowish-brown throughout, emits a faint fragrance that can neutralize poisons.",Single Greatly increases WILL 5 rounds
,3040,毒龙胆,天下至毒之物，沾者即死，但同时也能以毒攻毒，解尽天下奇毒。,我方单体，解任意毒，若自身未中毒则即死,Poison Dragon Gall,Deadly Gentian,,Deadly Gentian,,"The most poisonous substance under heaven; contact means instant death, but it can also use poison to counteract poison, curing all rare poisons.",Single HP and MP Full Recover
,3041,大力丸,用人参、龟鳖制成的药丸，能强身壮体。,我方单体，武略增，5回合,Strength Pill,,,Might Pill,,"Pill made from ginseng and turtle, strengthens the body.",Revive with Small HP
,3042,龙穴石髓,来自龙穴中的石屑，附有神龙的法力，能够让人武力增强数倍。,我方单体，武大增，5回合,Dragon Lair Marrow,,,Dragon Marrow,,"Stone fragments from a dragon's lair, imbued with the dragon's magic power, can multiply a person's combat strength several times over.",Revive with Large HP
,3043,金蝉蜕,罕见的灵药，服用后能瞬间提高自身防御。,我方单体，防略增，5回合,Golden Cicada Shed,,,Golden Shed,,A rare spiritual medicine; instantly boosts own Defend upon consumption.,Revive with Full HP
,3044,金刚咒,得道之士所画的符，有金刚护体之效。,我方单体，防大增，5回合,Diamond Mantra,,,Vajra Mantra,,"A talisman drawn by a Taoist master, with the effect of Vajra protection.",Single Small HP Recover and 
,3045,神行丸,神奇的药丸，能让人身轻如燕。,我方单体，速略增，5回合,Swift Step Pill,,,Swift Pill,,Miraculous pill that makes one light as a swallow.,"removes Sleep, Mad, Confusion"
,3046,疾风符,得道之士所画的符，具有让人脚下生风的法力。,我方单体，速大增，5回合,Gale Talisman,,,Gale Talisman,,"A talisman drawn by a Taoist master, possessing the power to make one's feet fleet.",Single Small HP Recover and 
,3047,吉祥如意符,用朱砂在符纸上写的“吉祥如意”四字，能祈福增运。,我方单体，运略增，5回合,Auspice Wish Talisman,,,Luck Talisman,,The characters 'Auspicious As You Wish' written in cinnabar on talisman paper can bring blessings and increase luck.,"removes Paralyze, Seal, Forbid"
,3048,灵运宝令,一块灵玉所制的令牌，蕴含着强大的法力，能将人运气提至极限。,我方单体，运大增，5回合,Spirit Luck Token,,,Fate Token,,"A token made from a piece of spiritual jade, containing powerful magic that can elevate a person's luck to its limit.",
,3049,紫地甘萝,在玄冰中冻结千年而不死的仙草，有舒筋活骨之效。,我方单体，解“定”,Purple Earth Radish,,,Purple Radish,,"A celestial herb frozen in profound ice for millennia Immortal, effective for soothing muscles and bones.",Single Slightly increases WILL 5 rounds
,3050,龙须金藤,状如龙须的金黄色藤条，据说可解除封咒。,我方单体，解“封”,Dragon Beard Vine,,,Gold Vine,,"A golden vine resembling dragon whiskers, said to be able to dispel curses.",
,3051,倚月蓉花,此花万年才开一次，嗅其芳香可让人百无禁忌。,我方单体，解“禁”,LeaningMoonHibiscus,,,Moon Hibiscus,,This flower blooms once every ten thousand years; smelling its fragrance makes one invulnerable to all taboos.,Removes Water Poison
,3052,天心葵,蕴含山川灵气的仙草，散发的芳香可使头脑立刻清醒。,我方单体，解“眠”,Skyheart Sunflower,,,Skyheart Herb,,Immortal grass imbued with mountain and river spiritual energy; its fragrance instantly clears the mind.,Removes Fire Poison
,3053,通天丸,修道之人梦寐以求的灵丹，可使人心宁神和。,我方单体，解“狂”,Heaven-Passing Pill,,,Calming Pill,,A spiritual elixir coveted by cultivators; calms the heart and harmonizes the spirit.,Removes Thunder Poison
,3054,戒冥玉,避邪之物，上附仙家法力，可抵御妖术。,我方单体，解“乱”,Jieming Jade,,,Banishing Jade,,"Talisman to ward off evil, imbued with immortal power, resists demonic arts.",Removes Wind Poison
,3055,晗光琉璃,据说是女娲补天时遗落人间的宝石，蕴含无穷神力。,我方单体，解除所有不良状态,HanguangColorGlaze,,,Prism Gem,,"Legend says it's a gem left in the mortal world when Nüwa mended the heavens, containing infinite divine power.",Removes Earth Poison
,3056,捆仙绳,施有咒术的丝绳，可令妖怪动弹不得。,敌方单体，“定”，3回合,BindingImmortalRope,,,Binding Rope,,"A silk rope enchanted with a spell, capable of immobilizing monsters.",Cures Poison (any)
,3057,封咒符,用朱砂在纸上书写神秘的符号，具有封住敌人法术的效果。,敌方单体，“封”，3回合,Seal Spell Talisman,,,Seal Talisman,,"Mysterious symbols written on paper with cinnabar, capable of sealing enemy spells.",instant death if self not poisoned
,3058,锁灵环,本为鬼怪索魂之用，附有鬼神的法力。,敌方单体，“禁”，3回合,Spirit-Locking Ring,,,Spirit Lock,,"Originally used by ghosts to claim souls, imbued with divine and demonic power.",Single Slightly increases Physical 5 rounds
Y,3059,无忧梦铃,铃声勾魂慑魄，能让聆听之人坠入梦境，意识全无。,敌方单体，“眠”，3回合,Carefree Dream Bell,,,Dream Bell,,"The bell's chime captivates souls, causing listeners to fall into a dreamlike state, losing all consciousness.",Single Greatly increases Physical 5 rounds
,3060,幽魔散,蕴含道法仙力，可让鬼魄妖灵为之迷狂，方寸大乱。,敌方单体，“狂”，3回合,Demon Powder,,,Demon Dust,,"Infused with Taoist immortal power, it can bewilder and confuse ghostly and demonic spirits.",Single Slightly increases Defense 5 rounds
,3061,迷魂散,经由八十一味仙草炼制，可瞬间让敌人心智大乱。,敌方单体，“乱”，3回合,Soul-Dazing Powder,,,Daze Powder,,"Refined from eighty-one celestial herbs, can instantly throw enemies into mental chaos.",Single Greatly increases Defense 5 rounds
,3062,烟月神镜,借助镜子上附着的神力，可以把敌人的攻击反射回去。,我方单体，“镜”，3回合,Smoke Moon Mirror,Moonsmoke Mirror,,Moonsmoke Mirror,,"Using the divine power attached to the mirror, it can reflect the enemy's Attack back.",Single Slightly increases Speed 5 rounds
,3063,玄灵碧瑶,能聚天地灵气的宝玉，发出的光芒可以护体。,我方单体，“壁”，3回合,Mystic Spirit Biyao,,,Spirit Jade,,A precious jade that gathers spiritual energy from heaven and earth; its emitted light can protect the body.,Single Greatly increases Speed 5 rounds
,3064,幻界水晶,不属于六界中任何一界的神秘宝物，使用后在一段时间内能抵御一切仙术。,我方单体，“界”，3回合,IllusoryRealmCrystal,Phantom Crystal,,Phantom Crystal,,"A mysterious treasure belonging to none of the six realms. After Use, temporarily resists all immortal arts.",Single Slightly increases Luck 5 rounds
,3065,影月神石,吸收月影的精华所炼成的宝石，使用后可以隐身。,我方单体，“隐”，3回合,Shadow Moon Stone,,,Shadow Stone,,A gem refined from the essence of moonlight; Use to become invisible.,Single Greatly increases Luck 5 rounds
Y,3066,钉耙秘笈,一本看起来有些破旧的书册，其中记载着怎样使用钉耙。,,Rake Secret Manual,,,Rake Manual,,"A somewhat tattered book, detailing how to Use a rake.",Single cures Paralyze
Y,3067,土灵珠,蕴含着无穷法力的土系灵珠。,返回迷宫入口,Earth Spirit Pearl,,,Earth Spirit Pearl,,An earth spirit pearl containing boundless magical power.,Single cures Seal
,3068,密雨银芒,属喷射系暗器，使用时空中银屑纷飞，且含有剧毒，触之即伤。,敌方单体，水毒,Dense Silver Glint,,,Silver Sting,,"Belongs to spray-type hidden weapons; when Use, silver dust flies in the air, containing deadly poison, harming on contact.",Single cures Forbiden
,3069,毒蜂巢,有很多毒蜂栖息的巢穴，一旦不小心碰触到就会饱受毒蜂蜇咬之苦。,敌方单体，火毒,Poison Beehive,,,Poison Beehive,,Nest inhabited by many poisonous bees. Accidentally touching it will suffer from bee stings.,Single cures Sleep
,3070,射影寒砂,此砂取自寒潭深处，凝结一股寒气，伤人时无影无形。,敌方单体，雷毒,ShadowCastColdSand,,,ColdshadowSand,,"Sand taken from deep cold pools, congealed with cold qi, harming enemies unseen.",Single cures Mad
,3071,封喉羽,刃部极其尖锐，并涂有鸩羽之毒，见血封喉。,敌方单体，风毒,Throat-Seal Feather,,,Throat Feather,,"The blade is extremely sharp and coated with poison from Zhen bird feathers, lethal upon drawing blood.",Single cures Confused
,3072,碧磷砂,用铁矿砂配以蛇毒炼制而成，在暗处便可见磷光闪烁。,敌方单体，土毒,GreenPhosphorusSand,,,Phosphor Sand,,"Made from iron ore sand mixed with snake venom, it glows with phosphorescence in the dark.",Removes all negative statuses
Y,3073,蛊,施展蛊咒必需的媒介，也可直接作为暗器使用。,敌方单体，中任意毒,Gu(Bug),,,Gu Bug,,"A necessary medium for casting Gu curses, can also be used directly as a hidden weapon Use.",Enemy Single Paralyze 3 turns
,3074,无忧散,白色无味的细小粉末，能让人手脚酸软，昏昏欲睡。,敌方单体，武略降，3回合,Worry-Free Powder,,,Slack Powder,,Fine white odorless powder that causes limb weakness and drowsiness.,Enemy Single Seal 3 turns
,3075,凝酥软香,从西域传入的神秘熏香，能在瞬间让人全身筋骨瘫软，武力全消。,敌方单体，武大降，3回合,CondensedCreamFragr.,,,Cream Musk,,"A mysterious incense introduced from the Western Regions can instantly make one's muscles and bones go limp, causing a complete loss of combat strength.",Enemy Single Forbid 3 turns
,3076,软骨浆,无色无味的迷药，能够在无形中使人瞬时全身无力，任人摆布。,敌方单体，防略降，3回合,Softening Pulp,Slack Paste,,Slack Paste,,"A colorless, odorless knockout drug that instantly renders the victim weak and helpless, completely at the mercy of others.",Enemy Single Sleep 3 turns
,3077,骷髅鼓,传说是鬼差所用之鼓，能令人丧魂落魄，神胆俱散。,敌方单体，灵大降，3回合,Skull Drum,,,Skull Drum,,"Legend says it's a drum used by ghost officers, can shatter souls and terrify spirits.",Enemy Single Mad 3 turns
,3078,大破天甲散,能够侵蚀盔甲和护体真气的奇门暗器，可令敌方疲软，无法招架我方攻击。,敌方单体，防大降，3回合,SkyArmorBreakPowder,,,ArmorbreakDust,,"An exotic hidden weapon that can corrode armor and protective qi, causing enemies to weaken and be unable to withstand our Attack.",Enemy Single Confused 3 turns
,3079,南草乌,产自苗疆的一种毒草，散发出的毒气能令人全身麻痹，行动缓慢。,敌方单体，速略降，3回合,Southern Aconite,,,SouthAconite,,A poisonous grass from Miaojiang; the toxic gas it emits can cause full-body paralysis and slow movement.,Reflection 3 rounds
,3080,地缚根,从地底深处冒出的老根，拥有法力，能将人缠绕使其移动困难。,敌方单体，速大降，3回合,Earthbound Root,,,Earthbind Root,,"An old root emerging from deep underground, possessing magic power, can entangle people making movement difficult.",Single Wall 3 rounds
,3081,五生牯铃,佛家金刚铃，铃声如五雷轰顶。,敌方单体，雷伤害,Five-Life Bull Bell,,,Ox Bell,,"Buddhist vajra bell, its ring like thunder striking.",Single Barrier 3 rounds
,3082,丧门钉,名字不祥的暗器，不仅用来伤人，更是给予敌人警示之意。,敌方单体，运大降，3回合,Funeral Nail,,,Funeral Nail,,"An unnamed hidden weapon, used not only to injure but also to warn the enemy.",Single Invisible 3 rounds
,3083,寒鸦羽,沾染寒气的乌鸦羽毛，其中的水灵之力隐含煞气，极易伤人。,敌方单体，水伤害,Crow Feather,,,Crow Feather,,"Crow feathers tainted with cold qi, water spirit power within harbors killing intent, easily harming others.",
,3084,梅花镖,梅花形的飞镖，边缘锐利，速度快。,敌方单体，减精,Plum Blossom Dart,Plum Dart,,Plum Dart,,"Plum-blossom shaped throwing dart, sharp edges, fast speed.",Return to maze entrance
,3085,袖箭,可藏于衣袖中的微型弩箭，射程很远。,敌方单体，减精,Sleeve Dart,Sleeve Dart,,Sleeve Dart,,"A miniature crossbow that can be concealed in a sleeve, with a long range.","Enemy Single, Water Poison"
,3086,雷火珠,填充火药的铁珠，投掷撞击后会爆裂伤人。,敌方单体，火伤害,Thunder Fire Pearl,,,Thunder Pearl,,"Iron pellet filled with gunpowder, explodes on impact to injure.","Enemy Single, Fire Poison"
,3087,透骨钉,一种奇门暗器，锋利透骨，杀伤力很大。,敌方全体，减精,Bone-Piercing Nail,Pierce Spike,,Piercing Spike,,"An exotic hidden weapon, sharp enough to penetrate bone, with great lethality.","Enemy Single, Thunder Poison"
,3088,震天雷,用旧瓷器改造的火器，谁也无法预料使用它的后果。,敌方全体，减精,Sky-Shaking Thunder,,,Sky Thunder,,A firearm modified from old porcelain; no one can predict Use its consequences.,"Enemy Single, Wind Poison"
,3089,散花天女,四川唐门最强的暗器，靠机关发动，神鬼难防。,敌方全体，减精,ScatterFlowerMaiden,Metalstorm,,Metalstorm,,"The strongest hidden weapon of the Sichuan Tang Clan, activated by mechanism, unpredictable even by gods and ghosts.","Enemy Single, Earth Poison"
,3090,鸣风石,带有风灵之力的暗器，掷出时伴有疾风之声，能伤人于无形。,敌方单体，风伤害,Singing Wind Stone,,,Gale Stone,,"A hidden weapon with wind spirit power, accompanied by Swift Wind sounds when thrown, can harm invisibly.","Enemy Single, inflicts Poison (any)"
,3091,涣神砂,从西域传入的奇砂，本为巫师吸人魂魄时所用之物，作为暗器使用则可使敌人神魂涣散，无药可解。,敌方单体，减神,Scatter Spirit Sand,,,Spirit Sand,,"Exotic sand from the Western Regions, originally used by sorcerers to absorb souls; as a hidden weapon, Use can scatter the enemy's spirit, with no cure.","Enemy Single, PHY slightly decreased, 3 turns"
,3092,噬魂硝,采百种毒草同硝石合炼，其毒可令敌人元神立时溃散。,敌方全体，减神,Soul-Cons. Saltpeter,,,Soul Salt,,Refined from a hundred poisonous herbs and saltpeter; its poison can instantly scatter an enemy's spirit.,"Enemy Single, PHY greatly decreased, 3 turns"
,3093,坠影含幽,奇门暗器，石上附有土灵之力，掷出后不见其形，只现其影。,敌方单体，土伤害,FallingShadowMystery,,,Shadow Shard,,"An exotic hidden weapon; the stone carries earth spirit power, invisible when thrown, only its shadow appears.","Enemy Single, DEF slightly decreased, 3 turns"
,3094,鸢尾香,以散发清雅幽香的鸢尾花制成的奇香，可宁心定气，十分名贵。,调和秘香的必备物品,Iris,,,Iris,,"A rare incense made from fragrant iris flowers, can calm the heart Focus, very precious.","Enemy Single, Will greatly decreased, 3 turns"
,3095,广藿香,清凛芬芳，能够治疗风水毒肿，去除恶气，是中医不可缺少的良药。,调和秘香的必备物品,Patchouli,,,Patchouli,,"Clear and fragrant, can treat wind Water Poison swelling, remove evil qi, indispensable good medicine in Chinese medicine.","Enemy Single, DEF greatly decreased, 3 turns"
,3096,丁香,散发出淡而幽远、馥而不腻的香气，能够安神宁气。,调和秘香的必备物品,Clove,,,Clove,,"Emits a light, distant, rich yet not cloying fragrance, can calm the spirit and soothe energy.","Enemy Single, SPD slightly decreased, 3 turns"
,3097,青木香,具有奇特的甜蜜清香，能够使人神清气爽。,调和秘香的必备物品,Green Wood Incense,,,Greenwood,,"Has a peculiar sweet fragrance, can refresh and clear the mind.","Enemy Single, SPD greatly decreased, 3 turns"
,3098,没药,有一种来自树林深处的木头味，具有疏筋散骨的奇效。,调和秘香的必备物品,Myrrh,,,Myrrh,,"Has a woody scent from deep in the forest, with miraculous effects for relaxing muscles and bones.","Enemy Single, Thunder Damage"
,3099,乳香,散发出一种神秘诱人的香味，能够祛邪止痛，使人心神安定。,调和秘香的必备物品,Frankincense,,,Frankincense,,"Emits a mysterious, alluring fragrance, capable of dispelling evil, relieving pain, and calming the mind.","Enemy Single, LUK greatly decreased, 3 turns"
Y,3100,龙脑香,清新纯净，熏燃时香气浓郁，而且烟雾甚小，被视为珍品。,调和秘香的必备物品,Borneol Incense,,,Borneol,,"Fresh and pure; when burned, it produces a rich fragrance with little smoke, considered a rare treasure.","Enemy Single, Water damage"
Y,3101,这是剑,名字极其古怪的家传佩剑，使用起来却是相当称手。,,This is a Sword,,,It-is-a Sword,,"A family heirloom sword with an extremely peculiar name, yet Use feels quite handy.","Enemy Single, reduces HP"
Y,3102,望舒剑,昆仑琼华派所炼神剑，以上古月神为名，蕴有极寒之气，可作为通仙之途。,,Wangshu Sword,,,Wangshu,,"Divine sword forged by Kunlun Qionghua Sect, named after the ancient moon goddess, imbued with extreme cold, a path to immortality.","Enemy Single, reduces HP"
,3103,长弓,结实的硬质长弓，需要较强劲的臂力才能拉开，相对的，用它来打猎也颇显威力。,,Longbow,,,Longbow,,"A sturdy, hard Longbow requiring considerable arm strength to draw. Conversely, it proves quite powerful for hunting.","Enemy Single, Fire damage"
Y,3104,古玉,晶莹剔透的古玉，莹光润泽，十分罕见，似乎蕴藏着一股神秘的力量。,,Ancient Jade,,,Ancient Jade,,"A crystal-clear Ancient Jade, glossy and rare, seemingly harboring a mysterious power.","Enemy All, reduces HP"
Y,3105,灵光藻玉,通灵玉石，为开启昆仑琼华派后山禁地的秘钥。,,Spiritual Light Jade,,,Spirit Light Jade,,The Jade Stone is the secret key to unlocking the Back Mountain Forbidden Area of the Kunlun Qionghua Sect.,"Enemy All, reduces HP"
Y,3106,玉腰弓,弓腰处镶有玉片，不仅作为装饰之用，更能令拉弓者出手稳健。,,Jade-Waist Bow,,,Jade-Waist Bow,,"Jade pieces inlaid at the bow's waist, not only decorative but also stabilizing the archer's shot.","Enemy All, reduces HP"
