ID,任务变量,任务编号,任务名称,任务图片,说明文字,初版翻译,其他备选
15,0,21800,等待菱纱,Z_21800,因为要等菱纱从客栈出来，所以最好不要乱跑，就在客栈周围逛逛吧。,"Since waiting for Lingsha to come out of Inn, it's best not to wander far; just stroll around Inn.",
16,0,21900,拜访柳府,Z_21900,那个裴剑的“老大”好像认识爹的样子，还是先去他说的地方看看好了，记得是在寿阳北城门附近的“柳府”。,Pei Jian's 'boss' seems to know Father. Better check the place he mentioned first. It's near Shouyang's north gate: 'Liu Residence'.,
17,0,21901,应邀去前厅,Z_21901,柳波波还在屋子里等着，现在还是先别乱逛，快点进屋要紧。,"Uncle Liu is still waiting inside the house; better not wander now, hurry inside is key.",
18,0,22100,离开柳府,Z_22100,菱纱说要离开这里，所以现在就走吧。,"Lingsha said to Leave this place, so let's leave now.",
19,0,22300,院中迷路,Z_22300,这个院子好像和白天的时候不一样了，最好快点走出去！那些发光的门看起来很奇特，要特别留意！,"This courtyard seems different from during the day. Better get out quickly! Those glowing doors look peculiar, pay attention!",
20,0,30101,去找菱纱,Z_30101,天亮了，先到外面院子里去，找到菱纱再说。,It's dawn. First go to the outer courtyard to find Lingsha.,
21,0,30200,前厅议事,Z_30200,菱纱和柳波波他们都在前厅，前厅好像就是昨天晚上和柳波波吃饭的那个屋子。,Ling Sha and Liu Bobo are at Front Hall. Front Hall seems to be the room where we dined with Liu Bobo last night.,
22,0,30201,北门出城,Z_30201,最近女萝岩中有妖怪伤人，现在要去调查一番。从寿阳北城门出去就是八公山女萝岩。,We must now go investigate Nvluo Rock. Exit through Shouyang's north gate to reach Bagong Mountain Nüluo Rock.,
23,0,30500,北门出城,Z_30500,最近女萝岩中有妖怪伤人，现在要去调查一番。从寿阳北城门出去就是八公山女萝岩。,We must now go investigate Nvluo Rock. Exit through Shouyang's north gate to reach Bagong Mountain Nüluo Rock.,
24,0,30900,寻找菱纱,Z_30900,菱纱不小心踩了陷阱掉到下层去了！当务之急就是找到她！,Lingsha accidentally stepped on a trap and fell to the lower level! The urgent task now is to find her!,
25,0,31100,罪魁祸首,Z_31100,菱纱已经平安无事，现在还是继续深入女萝岩，调查妖怪伤人之事。,"Lingsha is safe now. Continue deeper into Nvluo Rock, investigate the demon injury incident.",
26,0,31200,土灵遁地,Z_31200,所谓好心有好报，拿到土灵珠，可以用它直接回到女萝岩入口处哦！,"So-called good deeds bring good rewards. Obtained Earth Spirit Pearl, can use it to directly return to Nvluo Rock entrance!",
27,0,31300,回府交代,Z_31300,妖怪伤人之事已经查清，现在可以回寿阳柳府向柳波波和柳波母交代一下女萝岩的事情了。,Monster attacks clarified. Return to Shouyang Liu Residence to report to Lord and Lady Liu.,
28,0,31400,府中清闲,Z_31400,菱纱瞬间又跑没影了，现在只剩自己一个，柳府院景雅致，后院更是花开繁盛，不如就在府中逛逛。,Ling Sha has run off again. The Liu Residence courtyard is elegantly scenic with blooming flowers. Might as well stroll around.,
29,0,31500,回房休息,Z_31500,明天就要动身去陈州，现在还是回客房休息一下吧。,We depart for Chenzhou tomorrow; better return to Guest Room and rest now.,
30,0,40100,门口会合,Z_40100,菱纱、梦璃都已经在柳府门外等着了，还不快去和她们会合？,Lingsha and Mengli are already waiting outside Liu Residence; hurry and join them?,
31,0,40300,启程往陈州,Z_40300,从寿阳北城门出去，八公山东北面上山便是淮南王陵，菱纱说从那里去陈州会比较近。,"Exit Shouyang's north gate, head northeast from Bagong Mountain to Huainan King's Tomb. Closer to Chenzhou from there.",
32,0,40400,进入王陵,Z_40400,卫兵被梦璃迷倒了，乘此机会，尽快进入淮南王陵吧！,The guards are enchanted by Mengli; seize this chance to quickly enter Huainan King's Tomb!,
33,0,40500,向北前行,Z_40500,虽然菱纱有点认不清楚方向，不过还是相信她指的道路，往北走走看好了。,"Although Ling Sha is a bit unsure of the direction, it's better to trust the path she indicated and head north to have a look.",
34,0,40900,查清祸害,Z_40900,淮南王陵竟然风水生变，生出许多厉鬼来，为免寿阳百姓遭难，还是进入陵墓深处，查清此事为好。,"Huainan King's Tomb's feng shui changed, spawning vengeful ghosts. Enter tomb depths to protect Shouyang.",
35,0,41000,进入秘道,Z_41000,误打误撞之下竟然开启了一条秘道！反正现在别的路都被封死了，就试着从秘道走走看吧！,"By accident, a secret passage has been opened! Since all other paths are blocked now, why not try going through the secret passage?",
36,0,41602,破解机关,Z_41602,无法原路返回，现在只能试着破解眼前的机关，看看能不能打开新的秘道。,"Cannot return the same way; now we must try to solve the mechanism ahead, see if it opens a new secret passage.",
37,0,50100,离开王墓,Z_50100,从淮南王陵的地道出去，再翻过碗丘山，就能到陈州了。,"Exit through Huainan King's Tomb's tunnel, cross over Bowl Hill, and you'll reach Chenzhou.",
38,0,50200,城中寻人,Z_50200,刚进陈州，天河、梦璃二人便不见了，快在城里找找他们吧！,"Just after entering Chenzhou, Tianhe and Mengli have disappeared; quickly search for them in the city!",
39,0,50300,客栈休息,Z_50300,晚上还要帮琴姬的忙，如果在城里逛累了，就去客栈休息一下。,"We still need to help Qin Ji tonight. If you get tired from wandering around the city, go Inn Rest for a while.",
40,0,50400,夜入千佛塔,Z_50400,从客栈西边的渡口乘船，去湖心岛和琴姬会合，准备进入千佛塔吧。,"Take a boat from the ferry west of Inn, go to Lake Heart Isle to meet Qin Ji, and prepare to enter Thousand Buddha Pagoda.",
41,0,50402,塔中寻牌位,Z_50402,秦家是陈州首富，秦公子的牌位一定在千佛塔最上面的几层，想要顺利走到上层，需注意周围的机关。,Qin family is Chenzhou's wealthiest. Young Master Qin's Tablet is on Thousand Buddha Pagoda's upper floors. Beware the mechanisms.,
42,0,51100,下楼找梦璃,Z_51100,天亮了，琴姬已离开陈州，现在还是下楼去找梦璃吧。,"Daybreak; Qin Ji has Leave Chenzhou. Now, head downstairs to find Mengli.",
43,0,51200,城门会合,Z_51200,如果一切都准备好了，就到城门口去找怀朔和璇玑，准备飞去仙山！,"If everything is ready, go to the city gate to find Huaishuo and Xuanji, prepare to fly to the immortal mountain!",
44,0,51600,恢复体力,Z_51600,初到西域播仙镇，菱纱似乎有些不舒服，听说镇外上仙山的路很难走，不如到客栈休息一晚再上山。,"Arrived in Buxian Town, Western Regions. Lingxia is unwell. Rest at Inn Rest before ascending the tough mountain path",
45,0,60200,往南上山,Z_60200,休息一晚后，菱纱又恢复了精神，现在只要从播仙镇的南面出去，就能上仙山了。,"After resting overnight, Ling Sha has Recover her spirits. Now just exit south from Buxian Town to ascend the immortal mountain.",
46,0,60600,仙山试炼,Z_60600,太一仙径只是对上山求仙之人的小小试炼，想要通过试炼，就要尽快走上山顶。,"Taiyi Immortal Path is merely a small trial for those seeking immortality on the mountain. To pass, ascend to the summit quickly.",
47,0,60800,仙山试炼,Z_60800,太一仙径只是对上山求仙之人的小小试炼，想要通过试炼，就要尽快走上山顶。,"Taiyi Immortal Path is merely a small trial for those seeking immortality on the mountain. To pass, ascend to the summit quickly.",
48,0,60901,入门考验,Z_60901,如果准备好接受入门考验了，就上前告诉掌门，进行试炼吧！,"If ready to accept Entry Test, step forward and inform the sect leader to undergo the trial!",
49,0,61001,询问老者,Z_61001,瞬间被掌门送到一个奇特的地方，现在也不知道该怎么办，前方有个老人，不如就去问问他吧。,"Instantly teleported by the sect leader to a strange place; unsure what to do. There's an old man ahead, might as well go ask him.",
50,0,61002,寻找美酒,Z_61002,找九十九坛美酒，把酒仙翁背后的酒缶装满就能过关，但若超过时间还没找齐，可就不好说啦！,"Find 99 jars of fine wine to fill Wine Immortal Elder's jar to pass. If time runs out, trouble may occur.",
51,0,61003,继续闯关,Z_61003,顺利过了酒仙翁给予的考验，接下去只要踏上新开启的法阵，就能进入下一关。,"Successfully passed the trial given by Wine Immortal Elder. Next, step onto the activated magic array to proceed to the next stage.",
52,0,61005,收集宝石,Z_61005,找齐十三颗九眼石，拿回去给财神，就能过关了。,Collect all thirteen Nine-Eyed Stone and bring them back to God of Wealth to pass the trial.,
53,0,61300,去弟子房休息,Z_61300,终于正式拜入了昆仑琼华派，按照紫英师叔指点，现在要去前山剑舞坪附近的弟子房休息，天河房间是门口有石狮子的那一间。,Joined Kunlun Qionghua Sect. Rest in disciple quarters near Sword Dance Terrace per Master Ziying. Tianhe's room has stone lions.,
54,0,70200,剑舞坪修行,Z_70200,师叔说去剑舞坪找他，要正式开始在昆仑琼华派的修行了。,Master said to meet at Sword Dance Terrace; it's time to officially start cultivating at Kunlun Qionghua Sect.,
55,0,70400,御剑下山,Z_70400,想要御剑下山好好玩一通，先得从前山山门出去才行。,"To have fun in Sword Flight Down the Mountain, first need to exit through the Front Mountain mountain gate.",
56,0,70500,东南荒漠,Z_70500,东南方的沙地烟尘无尽，似乎十分广阔，不如就先御剑去那里看看。,"The southeastern sandy area seems endless with dust, quite vast. Perhaps we should first fly there by sword.",
57,0,70700,荒漠深处,Z_70700,站在一条已经干涸的河床之上，不知这荒芜的沙海深处，到底有些什么？不如就入内一探。,"Standing on a dried-up riverbed, wondering what lies deep within this desolate sea of sand. Might as well venture in and find out.",
58,0,70900,禀报掌门,Z_70900,月牙村的情况十分紧急，需要立即和紫英一起回昆仑琼华派，禀报掌门，借用水灵珠。,"Crescent Village's situation is urgent. Return to Qionghua Sect with Ziying, report to Sect Leader, and borrow Water Spirit Pearl.",
59,0,71200,回房休息,Z_71200,掌门不肯借出水灵珠，现在也没有别的办法可想，先回房休息一下再说。,"The sect leader refuses to lend Water Spirit Pearl; there's no other option now, let's Return to Room to Rest first and see.",
60,0,71400,前去禁地,Z_71400,“这是剑”莫名飞起，直指后山禁地，不如就去承天剑台后的禁地一探究竟！,"This is a Sword' flies up, pointing directly at Back Mountain Forbidden Area. Investigate the forbidden land!",
61,0,71600,前去禁地,Z_71600,“这是剑”莫名飞起，直指后山禁地，不如就去承天剑台后的禁地一探究竟！,"This is a Sword' flies up, pointing directly at Back Mountain Forbidden Area. Investigate the forbidden land!",
62,0,71900,进入山洞,Z_71900,没想到从爹娘墓室中带出的古玉能打开山洞大门，现在当然是要进去看看啦！,"Unexpectedly, the Ancient Jade brought from parents' tomb chamber can open the cave door. Of course, now we should go take a look!",
63,0,72200,离开禁地,Z_72200,玄霄说改日再去找他，现在也只有先离开禁地再说。,"Xuanxiao said to visit him another day; for now, we can only Leave Forbidden Area first.",
64,0,80100,回房睡觉,Z_80100,紫英已经派人送水和食物去月牙村，暂时可以不用担心，现在还是快点回房睡觉吧。,Ziying has already sent people to deliver water and Food to Crescent Village. No worry now; we should hurry back to Sleep.,
65,0,80400,思过结束,Z_80400,听怀朔说，子时已到，可以离开思返谷了。,"According to Huaishuo, the hour of Zi has arrived, time to LeaveSifan Valley.",
66,0,80600,再去禁地,Z_80600,距离昨天见到玄霄已经过了一整天，现在应该可以再去禁地找他了吧？,"A full day has passed since seeing Xuanxiao yesterday; should be able to Go to Forbidden Area Again find them now, right?",
67,0,80700,再去禁地,Z_80700,距离昨天见到玄霄已经过了一整天，现在应该可以再去禁地找他了吧？,"A full day has passed since seeing Xuanxiao yesterday; should be able to Go to Forbidden Area Again find them now, right?",
68,0,80800,寻访长老,Z_80800,要帮玄霄，得先穿过琼华派后山醉花荫，到清风涧找两位长老。太一宫前栈桥的岔路便可通往醉花荫。,"To help Xuanxiao, pass through Drunken Bower to find Elders at Breezy Brook. Fork before Taiyi Palace leads there.",
69,0,81100,寻访长老,Z_81100,要帮玄霄，得先穿过琼华派后山醉花荫，到清风涧找两位长老。太一宫前栈桥的岔路便可通往醉花荫。,"To help Xuanxiao, pass through Drunken Bower to find Elders at Breezy Brook. Fork before Taiyi Palace leads there.",
70,0,90100,前往即墨,Z_90100,得到长老指点，首先可以御剑去即墨，寻访光纪寒图的下落。,"With elder guidance, first ride the sword to Jimo, search for Guangji Cold Map's whereabouts.",
71,0,90300,书生寻女,Z_90300,要帮夏元辰寻找女儿，可以从即墨东北的山道去隐香山。,"To help Xia Yuanchen find his daughter, take the mountain path northeast of Jimo to Hidden Fragrance Mountain.",
72,0,90500,隐香寻人,Z_90500,夏元辰失去了踪影，更不知他的女儿到底身在何处，唯今之计只有深入隐香山一探。,"Xia Yuanchen vanished, daughter missing. Venture into Hidden Fragrance Mountain to investigate.",
73,0,90800,回到即墨,Z_90800,顺利救下夏元辰和莲宝，还得知了光纪寒图的下落，现在只要回即墨，去夏元辰家就行啦！夏元辰家就在狐仙庙的下面。,"Saved Xia and Lian Bao, learned Guangji Cold Map's location. Return to Jimo, go to Xia Yuanchen's Home below Fox Immortal Temple.",
74,0,90900,回到即墨,Z_90900,顺利救下夏元辰和莲宝，还得知了光纪寒图的下落，现在只要回即墨，去夏元辰家就行啦！夏元辰家就在狐仙庙的下面。,"Saved Xia and Lian Bao, learned Guangji Cold Map's location. Return to Jimo, go to Xia Yuanchen's Home below Fox Immortal Temple.",
75,0,90901,上楼取图,Z_90901,夏元辰在楼上屋子等着，出门到上一层的房间去找他吧。,Xia Yuanchen is waiting in the room upstairs. Go out to the room on the upper floor to find him.,
76,0,91000,夜市花灯,Z_91000,即墨一行终于功德圆满，听说晚上还会有花灯夜市，不如出门逛逛。,"Jimo's group finally achieved merit completion. Heard there will be lantern night market tonight, why not go out for a stroll.",
77,0,91200,御剑回山,Z_91200,拿到第一件寒器光纪寒图，可以先回昆仑琼华派了。,"Having obtained the first Cold Artifact Guangji Cold Map, you can Return to Kunlun Qionghua Sect now.",
78,0,91300,禁地交图,Z_91300,快去禁地把光纪寒图交给玄霄吧！,Quickly go to the forbidden area and deliver Guangji Cold Map to Xuanxiao!,
79,0,91400,离开禁地,Z_91400,玄霄想安静一段时间，不要继续待在禁地叨扰他了。,Xuanxiao wishes to be alone for a while; do not stay in the forbidden area to disturb him further.,
80,0,100100,歇息一晚,Z_100100,先回房睡一晚，明天再启程找另外两件寒器不迟。,"First, return to your room and sleep for the night; it's not too late to search for the other two Cold Artifacts tomorrow.",
81,0,100101,准备动身,Z_100101,睡饱了，昨天梦璃身体不适，不知现在怎样了，出门找他们去吧。,"I've slept enough. Yesterday Mengli Body felt unwell, I wonder how she is now. Let's go out and find them.",
82,0,100200,炎帝神农洞,Z_100200,虽然菱纱看起来有些疲惫，不过她坚持不用休息，现在就动身去炎帝神农洞吧！,"Though Ling Sha looks weary, she insists on pressing ahead without rest. Let's head to Emperor Yan Shennong Cave now!",
83,0,100400,查探炎洞,Z_100400,炎帝神农洞酷热异常，但长老所说应该没错，不如深入寻找这第二件寒器。,Emperor Yan Shennong Cave is very hot. Trust elder and venture deeper to find second Cold Artifact.,
84,0,100500,月幽之境,Z_100500,楚碧痕好像知道至阴至寒之物在哪里，她要求你们送她回家，而她就住在洞中的“月幽之境”。,Chu Bihen knows where the utmost yin cold object is. Escort her home to cave's 'Moonlit Realm'.,
85,0,100700,炙焰洞取石,Z_100700,到月幽之境西北的炙焰洞，将藏于其中的炙炎石取来。,Go to Blazing Flame Cave northwest of Moonlit Realm and retrieve the Fire Stone hidden there.,
86,0,101100,回月幽之境,Z_101100,把炙炎石带回月幽之境，交给梭罗树仙姐妹。,Take Fire Stone to Return to Moonlit Realm and deliver it to the Suoluo Tree Immortal sisters.,
87,0,101400,回昆仑琼华派,Z_101400,已经取得梭罗果，不要继续待在这个让人难过的地方了，回去昆仑琼华派吧……,Already obtained Suoluo Fruit. Don't linger in this sorrowful place; return to the Kunlun Qionghua Sect...,
88,0,101500,求见掌门,Z_101500,有弟子说菱纱是盗贼，要求掌门将菱纱驱逐，此事须立即去琼华宫求见掌门，请掌门宽待。,Some disciples call Lingsha a thief and demand expulsion. Go to Qionghua Palace to request leniency from Sect Leader.,
89,0,110200,前往巢湖,Z_110200,既然决定找齐三寒器之后就下山，也就不必再找掌门宽待菱纱之事，直接御剑去巢湖找第三样寒器吧。,Decided to leave after gathering three Cold Artifacts. No need for leniency. Fly to Chaohu Lake to find third artifact.,
90,0,110400,寻找漩涡,Z_110400,渔民所说的大漩涡应该就在湖中的百翎洲附近，四处找寻一下吧。,The big whirlpool the fishermen mentioned should be near the Bailing Island in the lake. Look around for it.,
91,0,110500,潜水寻妖,Z_110500,已经学会琼华派水息之术，可以从湖面上的漩涡潜入水底一探究竟。,"Already learned Qionghua Sect's water-breathing technique, can dive underwater through whirlpools on lake surface to investigate.",
92,0,110600,深入妖穴,Z_110600,水下殷商遗迹竟然是一个妖怪聚居的场所，也许鲲鳞就在这里也说不定，不妨向这里的妖打探打探。,Underwater Yin-Shang ruins are a monster gathering place. Kun Scale might be here. Ask monsters for info.,
93,0,110700,前去长老家,Z_110700,在居巢国巧遇槐米他们，为了报恩，槐米去询问长老关于鲲鳞的事情，可以到中间平台最上层的长老家门外去等槐米的消息。,"In Juchao Kingdom, met Huaimi. To repay kindness, Huaimi asks Elder about Kun Scale. Wait outside elder's house on central platform top.",
94,0,110701,离开居巢国,Z_110701,在槐米的帮助下，顺利得到了鲲鳞，不过居巢国的长老态度并不友善，现在还是快些上岸为好。,"With Huaimi's help, obtained Kun Scale, but the Juchao Kingdom elder's attitude was unfriendly; better leave the shore quickly.",
95,0,120100,送寒器回琼华,Z_120100,三件寒器都找到了，现在就回琼华派去吧！,"Now that Three Cold Artifacts is found, return to Qionghua Sect!",
96,0,120200,单独去禁地,Z_120200,到后山禁地去找玄霄，将两件寒器交给他，也好问问和紫英吵架的事情该怎么办。,"Go to Back to find Xuanxiao, hand over the two cold artifacts, and ask about how to handle the argument with Ziying.",
97,0,120300,离开禁地,Z_120300,玄霄即将破冰，嘱咐要一人运功，现在先离开禁地吧，可以先回房休息，之后再想怎么和紫英和好的事情。,Xuanxiao breaks free from ice. He instructed to channel energy alone. Leave Forbidden Area. Rest and later reconcile with Ziying.,
98,0,120500,寻找梦璃,Z_120500,妖界已临，外面十分危险，梦璃却一个人跑了出去，快去把梦璃找回来吧！,"The demon realm has arrived; outside is very Danger, yet Mengli ran out alone. Hurry and bring her back!",
99,0,120501,追上卷云台,Z_120501,有弟子看见梦璃往卷云台跑去，那里正是妖界出现的地方，快追去看看！,"A disciple saw Mengli running towards Cloud Terrace, right where the demon realm appeared. Hurry and check!",
100,0,120800,再寻玄霄,Z_120800,不知道怎样才能穿过结界去寻回梦璃，现在只有去禁地问玄霄有无方法。,Unsure how to breach the barrier to retrieve Mengli; only option is to ask Xuanxiao in the forbidden area for a method.,
101,0,121100,向长老求助,Z_121100,十九年前之事、玄霄之事，还有梦璃突然离开之事，都毫无头绪，如今只能去清风涧找两位长老想想办法。,"Events of nineteen years ago, Xuanxiao, and Mengli's sudden leave are baffling. Go to Breezy Brook for advice from two Elders.",
102,0,130100,不周山,Z_130100,先去西北大荒不周山寻找进入鬼界的通途，其余的事情容后再说。,"First, go to the northwest Great Barren Buzhou mountain to find the passage to Enter Ghost Realm; we'll discuss other matters later.",
103,0,130200,寻找鬼界入口,Z_130200,鬼界入口一定就在不周山的某处，四处找一下吧。,The entrance to the Ghost Realm must be somewhere in Mount Buzhou; search around.,
104,0,130201,依言赴约,Z_130201,衔烛之龙说，只要能走上盘龙镇柱，他就会考虑开启通往鬼界的法阵。,"Candle-Holding Dragon says that if you can walk onto Coiling Dragon Pillar, he will consider give you the portal to the ghost realm.",
105,0,130500,进入鬼界,Z_130500,通往鬼界的法阵已经打开了，随时可以通过法阵进入鬼界。,"The magic array leading to the Ghost Realm has been opened, allowing passage through the array Enter Ghost Realm at any time.",
106,0,130501,寻找翳影枝,Z_130501,无常殿周围一片宽广，也不知道翳影枝到底在哪里，仔细找找吧。,"The area around Impermanence Hall is very vast, and it's unclear where Shadowveil Sprig actually is. Search carefully.",
107,0,130600,前往转轮镜台,Z_130600,无常殿附近有一处转轮镜台，听说在那里可以见到死去的亲人。,"Near Impermanence Hall, there is a Turning Mirror Platform; heard that there one can see deceased relatives.",
108,0,130700,逃往放逐渊,Z_130700,在转轮镜台前和死去的亲人私会已经惊动了鬼界，现在只能逃去放逐渊。,Meeting with deceased ones before Turning Mirror Platform has disturbed the ghost realm; now we can only flee to Abyss of Exile.,
109,0,131000,前往冥河,Z_131000,穿过放逐渊，就是冥河，登上停在那里的青竹船，就能回到阳间了！,"Cross Abyss of Exile, reach the Styx River, board the Green Bamboo Boat docked there, and return to the mortal world!",
110,0,131200,离开酆都,Z_131200,顺利回到人间，现在可以从酆都城门御剑回琼华派。,Successfully returned to the mortal realm; now you can ride a sword from Fengdu city gate back to Qionghua Sect.,
111,0,131300,前去封神陵,Z_131300,明明知道盗墓会折寿，菱纱依然坚持要去封神陵最后一次盗墓，虽然不赞同她的做法，但总不能让她一个人去冒险。,"espite tomb raiding shortening lifespan, Ling Sha insists on one last raid at Fengshen Mausoleum. Can't let her risk alone.",
112,0,131500,入陵寻宝,Z_131500,菱纱的曾祖父曾经说过封神陵中有一件宝物，菱纱想将之取出。,"Lingsha's great-grandfather once said there is a treasure in Fengshen Mausoleum, and Lingsha wants to retrieve it.",
113,0,140100,前往妖界,Z_140100,不管怎样，终于取得后羿射日弓了，现在还是快回琼华派，进入妖界寻找梦璃吧。,"Regardless, we've finally obtained Houyi Sun Bow. Now hurry back to Qionghua Sect and enter the demon realm's Search for Mengli.",
114,0,140101,前往妖界,Z_140101,不管怎样，终于取得后羿射日弓了，现在还是快回琼华派，进入妖界寻找梦璃吧。,"Regardless, we've finally obtained Houyi Sun Bow. Now hurry back to Qionghua Sect and enter the demon realm's Search for Mengli.",
115,0,140700,前往幻瞑宫,Z_140700,梦璃邀请大家前往璇梦底层的幻瞑宫见妖界的主人，也就是梦璃的亲生母亲。,"Mengli invites everyone to meet demon realm master, her birth mother, on the bottom floor of Twilight Palace.",
116,0,140701,里幻瞑宫,Z_140701,梦璃想带大家进入里幻瞑宫，弄清十九年前之事。准备好进入里幻瞑宫后，就去告诉婵幽。,"Mengli wants to take everyone into Inner Twilight Palace to clarify the events 19 years ago. After preparing, inform Chanyou.",
117,0,141101,幻瞑危机,Z_141101,琼华派已经破除结界，杀进了幻瞑界，现在还是快点回到幻瞑宫去看看！,Qionghua Sect has broken the barrier and invaded Illusory Slumber Realm. Hurry back to Illusory Dream Palace and check!,
118,0,141400,护卫幻瞑,Z_141400,琼华派果然已经杀了进来，不管怎么样，先去外围看看情况。,"Qionghua Sect has indeed invaded; regardless, first check the situation at the periphery.",
119,0,141800,幻瞑界入口,Z_141800,去幻瞑界入口，找到琼华派的人！不许他们再对付梦貘一族！,"Go to Illusory Dream Realm Entrance, find the Qionghua Sect members! Stop them from targeting the Dream Eater clan!",
120,0,150300,继位仪式,Z_150300,梦璃即将成为妖界的主人，邀请天河、菱纱、紫英前往里幻瞑宫。,"Mengli is about to become the master of the demon realm, inviting Tianhe, Lingsha, and Ziying to Inner Illusory Dream Palace.",
121,0,160200,再访长老,Z_160200,现在只有去问问两位长老，还有什么办法可以阻止玄霄使用双剑。,Now we can only ask the two elders if there's any way to stop XuanxiaoUseTwin Swords.,
122,0,160400,重回青鸾峰,Z_160400,宗炼长老的手记可能被云天青留在青鸾峰，不妨回青鸾峰仔细找一找。,Elder Zonglian's notes might have been left by Yun Tianqing at Green Luan Peak; try searching carefully back at Green Luan Peak.,
123,0,160500,进入木屋,Z_160500,天河已经跑去了木屋，快点进去和他一起找手记吧～,Tianhe has already run to the wooden hut; hurry inside and search for the journal with him~,
124,0,160700,照看菱纱,Z_160700,菱纱还在屋里休息，不知道现在的状况如何了，进屋去看看她吧。,Lingsha is still resting in the room. I wonder how she's doing now. Let's go in and check on her.,
125,0,160900,寻找菱纱,Z_160900,菱纱突然不见了，快点在青鸾峰上找找她！,Lingsha has suddenly disappeared! Quickly search for her on Green Luan Peak!,
126,0,161000,再往播仙镇,Z_161000,先去播仙镇看看情况，再想办法上琼华派，劝玄霄放弃飞升！,"First, go to Buxian Town to assess the situation, then find a way to go to Qionghua Sect and persuade Xuanxiao to abandon ascension!",
127,0,161100,飞上琼华,Z_161100,琼华派尚未飞至天光之处，御剑而上，应该还能到达！,Qionghua Sect hasn't ascended to the heavenly light yet; riding a sword up should still reach it!,
128,0,161200,前往秘台,Z_161200,玄霄和夙瑶可能在卷云台侧的秘台之上，直接去卷云台找他们吧！,Xuanxiao and Su Yao might be on the secret platform on the Cloud Terrace side. Go directly to Cloud Terrace to find them!,
129,0,170000,,,,,
200,19,1,购买醉枣,D_200,带五份醉枣给太平村的李慎，酸枣在陈州的小食摊可以买到。,Bring five portions of Drunken Jujube to Li Shen in Taiping Village; sour jujubes can be bought at Chenzhou snack stalls.,
201,19,2,醉枣糕,D_201,太平村李慎委托完成。,Taiping Village Li Shen Commission completed.,
202,20,1,陈州寻人,D_202,到陈州去打听茶叶商人云遥庆的下落。,Go to Chenzhou to inquire about the whereabouts of the tea merchant Yun Yaoqing.,
203,20,2,回村带信,D_203,回太平村把云遥庆的情况告诉云记杂货的老板娘。,Return to Taiping Village and tell the proprietress of Yunji Sundries about Yun Yaoqing's situation.,
204,20,3,夫君远行,D_204,太平村姚若琴委托完成。,Taiping Village Yao Ruoqin Commission completed.,
205,21,1,寻找小吃,D_205,寿阳小食摊摊主说要收集醉枣、炸馓子、奶茶、手抓饭、醪酒、红绿八宝饭各一份给他。,"Shouyang snack stall owner wants one each: Drunken Jujube, fried Dough Twists, milk tea, pilaf, Laojiu, and Eight-Treasure Rice .",
