物品ID,物品类型,物品名称,物品说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,
3542,1,青灵苍角刃,异兽之角融合稀世宝石方能铸成此剑，剑成时将异兽灵气尽纳其中，化为温润青芒。（菱纱）,Green Spirit Cangjiao Blade,,,Azure Horn Blade,,"Forged from a mythical beast's horn fused with rare gems, this sword absorbs the beast's spiritual energy upon completion, transforming into a gentle green glow. (For Lingxia)"
3543,1,羿日焓灵刃,通体虹光四溢，锋芒更由乾坤之气所凝，挥动时则天地为之色变，耀目夺魂。（菱纱）,Sunfire Spirit Blade,,,Sunfire Blade,,"The entire body overflows with rainbow light, its sharp edge condensed from the qi of heaven and earth. When swung, heaven and earth change color, dazzling Soul Snatch. (Lingsha)"
3544,2,雕花箜篌,琴柱雕有细小花纹，琴身古色古香。（梦璃）,Carved Konghou,,,Carved Harp,,"The qin's pillars are carved with fine patterns, the body has an antique charm. (Mengli)"
3545,2,寒香枫木琴,此琴弹奏之时会有清香缭绕，让人精神为之一振。（梦璃）,Cold Fragrance Maple Wood Qin,,,Maple Harp,,"Playing this Qin produces great aroma, refreshing the spirit. (Mengli)"
3546,2,浣尘玉琴,以上好的古玉雕琢而成琴柱，声音激越，听之能净化心智。（梦璃）,Washing Dust Jade Zither,,,Jade Zither,,"Carved from fine Ancient Jade into qin pegs, sound is vigorous, listening can purify the mind. (For Mengli)"
3547,2,松风卧云,奏之如空谷之上松风鸣响，嚯嚯有声，共鸣之音能让巨石崩裂。（梦璃）,Pine Breeze Lying in Clouds,,,Pinewind,,"When played, it sounds like wind through pines over an empty valley, humming with resonance that can shatter giant rocks. (Mengli)"
3548,2,幽泉,琴如其名，指尖流出的乐音有如深山幽泉，但需要懂琴之人方可使用。（梦璃）,Youquan,,,Dark Spring,,"True to its name, the music flowing from its strings resembles deep mountain Youquan, but only those who understand the qin can Use. (Meng Li)"
3549,2,散玉琴,此琴用天蚕之丝为弦，内力催动乐声，利可碎玉。（梦璃）,Scattered Jade Lute,,,Jade Lute,,"This Qin uses Celestial Silkworm for strings; internal force music, sharp enough to shatter jade. (Mengli)"
3550,2,鹤唳,弦动之声有如鹤唳，因而得名。稍有内力之人抚琴，便可激发弦乐伤人，此琴便成为利器。（梦璃）,Crane's Cry,,,Crane Cry,,"The sound of its strings is like Crane's Cry, hence its name. When played by someone with internal energy, the music can harm others, making this zither a weapon. (Mengli)"
3551,2,沉香芙蓉琴,细看便可发现琴身雕有百朵芙蓉，弹奏时犹如奇花绽放，散发异香，能勾人魂魄。（梦璃）,Eaglewood Lotus Lute,,,Lotus Lute,,"Upon closer inspection, the qin body is carved with a hundred hibiscus flowers; when played, it resembles exotic blooms unfurling, emitting a strange fragrance that can captivate souls. (For Mengli)"
3552,2,赤羽琴,用神鸟尾羽装饰琴柱，抚琴之时会有霞光流溢。（梦璃）,Red Feather Zither,,,Red Feather,,Decorated with divine bird tail feathers on the tuning pegs; playing it causes radiant light to flow. (Mengli)
3553,2,璞玉琴,此琴半身皆由稀世古玉打造，晶莹剔透，琴弦乃冰丝所化，音起则有阵阵凉气袭人。（梦璃）,Puyu Qin,,,Rough Jade Qin,,"Half of this qin is crafted from rare Ancient Jade, crystal clear; its strings are made of ice silk, producing cool gusts with each note. (For Mengli)"
3554,2,鬼柳箜篌,此琴弦利，琴身斑驳遒劲，其实是由金刚之石打磨而成，奏之有如鬼泣。（梦璃）,Ghost Willow Konghou,,,Ghost Harp,,"With sharp strings and a rugged, gnarled body, this qin is actually polished from diamond stone. Playing it sounds like ghostly weeping. (Meng Li)"
3555,2,碧血瑶琴,此琴又唤“魔琴”，弦丝一动必见血，饮血越多琴身则越发翠绿，故曰碧血。（梦璃）,Green Blood Jade Zither,,,Blood Jade Zither,,"This zither is also called the 'Demonic Zither.' When its strings move, blood must be seen. The more blood it drinks, the greener the zither body becomes, hence the name 'Jade Blood.' (Mengli)"
3556,2,天回北斗琴,琴身镶有无数水晶，璨若晨星。丝弦能吸北斗七星之精气，乐音高亢破天。（梦璃）,Heaven Big Dipper Qin,,,Dipper Qin,,"The qin body is inlaid with countless crystals, brilliant as morning stars. Its silk strings absorb the essence of the Big Dipper, producing piercing, sky-rending music. (Mengli)"
3557,2,司幽,无弦无丝，却凝结天地之气。乐声悠远绵长，润万物于无声之中。（梦璃）,Siyou,,,Dark Whisper,,"No strings, yet condenses heaven-earth qi. Music distant and lingering, nourishes all things in silence. (Mengli)"
3558,3,头巾,普通百姓用来束发的头巾。（男用）,Headband,ClothBand,,ClothBand,,Headband used by common folk to tie hair. (Male use)
3559,3,绸布方巾,用上好的丝绸制成的方巾，颇有儒雅风范。（男用）,Silk Square Scarf,SilkBand,,SilkBand,,"A square scarf made of fine silk, quite elegant and refined. (For men)"
3560,3,浩然巾,做工十分精细的头巾。质地挺括，戴起来感觉神清气爽。（男用）,Haoran Scarf,WindBand,,WindBand,,"A very finely crafted Headband. The material is stiff, and wearing it makes one feel refreshed and clear-headed. (For men)"
3561,3,云英冠,儒生常戴的帽子，虽然普通，但戴起来风度翩翩。（男用）,Cloud Flower Crown,,,Cloud Flower Crown,,"A hat commonly worn by scholars; plain, but wearing it gives an air of elegance and grace. (For men)"
3562,3,龙纹帻,金丝线纺织而成，上有龙纹符咒，可使佩戴之人逢凶化吉。（男用）,Dragon Pattern Headband,,,DragonPatternHeadband,,"Woven from golden Silk Thread, with dragon patterns and spells, can bring good fortune to Equip individuals in danger. (For males)"
3563,3,紫阳冠,道家常用的头冠，以元色置于首，有天人合一之意。（男用）,Purple Sun Crown,,,Purple Sun Crown,,"A headband commonly used by Taoists, with black at the head, symbolizing unity of heaven and human. (For men)"
3564,3,琅邪冠,天蚕冰丝编制而成，上嵌避邪宝玉，防护效果极佳，且能清心明目。（男用）,Langya Crown,,,Langya Crown,,"Woven from heavenly silk and ice thread, inlaid with jade to ward off evil. Excellent protective effect, and can clear the mind and brighten the eyes. (Male)"
3565,3,五灵纶巾,头巾隐含五灵之力，是一件不可多得的宝物。（男用）,Five Elements Silk Scarf,PrismBand,,PrismBand,,"Headband contains hidden Five Elements power, making it a rare treasure. (For men)"
3566,3,赤金攒珠冠,赤金、珠冠，不惧水火，凡修习道法之人，皆梦寐以求。（男用）,Vermilion Gold Pearl Crown,,,VermilionPearlCrown,,"Red gold, pearl crown, impervious to water and fire. All who practice Taoism dream of possessing it. (For males)"
3567,3,荧石笠,因附有仙力，而轻如无物，戴此冠能逼退一切邪气。（天河）,Fluorite Hat,,,Fluorite Hat,,"Due to attached immortal power, light as nothing; wearing this crown repels all evil qi. (Tianhe)"
3568,3,精钢笠,以昆仑紫鸦乌打造，虽然坚固异常，却轻如鸿毛。（紫英）,Steel Helmet,,,Steel Helmet,,"Forged from Kunlun Purple Crow Black, exceptionally sturdy yet light as a feather. (Ziying)"
3569,3,通天冠,传说是天兵神将的头盔，戴上之人便法力大增，神勇异常。（男用）,Heaven-Passing Crown,,,Heaven-Passing Crown,,"Legend says it's the Helmet of heavenly soldiers and generals. Wearer gains greatly increased magic power, exceptionally divine bravery. (For males)"
3570,3,瑞日临天冠,形似日神所佩神冠，蕴含万道瑞气，可赐予人无上神力。（天河）,Auspicious Sun Crown,SunlordCrown,,SunlordCrown,,"Resembles the divine crown worn by the sun god, containing myriad auspicious energies, capable of bestowing supreme divine power. (Tianhe)"
3571,3,九龙紫金冠,极细的紫金丝编织而成，质地轻盈，具有非凡的神力。（紫英）,Nine Dragon Purple Gold Crown,ImperialCrown,,ImperialCrown,,"Woven from extremely fine purple-gold threads, it is lightweight in texture and possesses extraordinary divine power. (Ziying)"
3572,3,青丝巾,青色的丝织发带，女子束扎头发必备之物。（女用）,Black Silk Scarf,GreenBand,,GreenBand,,"A green silk hair ribbon, essential for women to tie up their hair. (For women)"
3573,3,五彩花冠,五色花冠，用来固定头发。色泽艳丽，栩栩如生。（女用）,Five-Colored Flower Crown,FloralCirclet,,FloralCirclet,,"A five-colored floral crown used to secure hair. Vibrant colors, lifelike. (For women)"
3574,3,描金头帕,上好丝绸制成的头帕，上有金银丝绣成的花纹。（女用）,Gold-Trimmed Headscarf,GildedScarf,,GildedScarf,,"A headscarf made of fine silk, embroidered with gold and silver thread patterns. (For women)"
3575,3,如意发带,设计巧妙的发带，用七彩丝绳制成，有多种束法。（女用）,Ruyi Hairband,BraidBand,,BraidBand,,"A cleverly designed hairband made of colorful silk cords, with various tying methods. (For women)"
3576,3,菡萏帕,冰蚕丝织就而成的锦帕，又被染制成绯红色，束扎头发时如片片荷花花瓣。（女用）,Lotus Handkerchief,,,Lotus Handkerchief,,"A brocade kerchief woven from ice Silk, dyed crimson. When tying hair, it resembles lotus petals. (Female use)"
3577,3,银角梳,半月型的梳子镶以银边，看起来贵重精致，据说还有避邪的作用。（女用）,Silver Horn Comb,,,Silver Horn Comb,,"A crescent-shaped comb edged with silver, appears precious and exquisite; said to ward off evil. (Female)"
3578,3,斗弯环,琅环玉打磨而成的灵物，七颗玉石排列成北斗七星状，佩戴它有助于吸取体内毒素。（女用）,Dou Wanhuan,,,Dou Wanhuan,,"A spiritual object polished from Langhuan Jade, seven gems arranged like the Big Dipper; Equip aids in drawing toxins from the body. (For females)"
3579,3,鸳鸯铃铛,双色天蚕丝系着的铃铛，一金一银，遇到投缘之人，铃铛便会发出五彩霞光。（女用）,Mandarin Duck Bells,,,Mandarin Duck Bells,,"A bell tied with a two-colored sky Silk ribbon, one gold, one silver. When meeting a kindred spirit, the bell emits multicolored light. (Female use)"
3580,3,飐风发带,犹如以霞丝织就，无风自动，煞是好看，甚至被误以为是风神流落人间的宝贝。（女用）,Whirling Wind Hairband,,,WhirlingHairband,,"As if woven from rosy cloud silk, it moves without wind, extremely beautiful. It's even mistaken for a treasure lost by the Wind God in the mortal world. (For females)"
3581,3,蕉柳玉簪,取神木“蕉柳”之名，古朴生香，本身使用的玉石亦是极为罕见，通灵通神。（菱纱）,Banana Willow Jade Hairpin,,,WillowJadeHairpin,,"Named after the divine wood 'Jiao Liu,' simple and fragrant. The Use jade itself is extremely rare, with Channeling connecting to the divine. (Lingsha)"
3582,3,鸾鸟鸣凤钗,纯金打造，并镶嵌各种避邪之物，显得十分高贵。（梦璃）,Luan Bird Phoenix Hairpin,,,PhoenixHairpin,,"Made of pure gold and inlaid with various exorcism items, appearing very noble. (Mengli)"
3583,3,菱叶萦波梳,可避水火二气，每日清晨便幻化出隐隐霞光。（女用）,Water Chestnut Wave Comb,,,Chestnut Comb,,"Repels fire and water qi, emitting faint morning glow at dawn. (For women)"
3584,3,青霞碧云冠,身具灵气之人，佩之则绽放出青碧霞光，犹如天女降临，威仪万方。（菱纱）,Azure Cloud Crown,,,Azure Cloud Crown,,"When worn by a person with spiritual energy, it emits a green-blue glow, like a heavenly maiden descending, majestic and awe-inspiring. (Ling Sha)"
3585,3,如意琅环簪,神奇的古玉制成，可随心幻化出护体之光。（梦璃）,Ruyi Langhuan Hairpin,,,Ruyi Hairpin,,"Made from magical Ancient Jade, it can conjure a protective light at will. (For Mengli)"
3586,4,长袍,交领长袍，市井中最常见的装束。（男用）　　　　　　　　 　　　　　,Long Robe,,,Long Robe,,"Cross-collar Long Robe, most common attire in the market. (For men)"
3587,4,英雄氅,很受江湖豪客欢迎的外衣，穿上它会让人显得高大挺拔。（男用）,Hero's Cloak,BraveRobe,,BraveRobe,,A very popular outer garment among martial artists; wearing it makes one appear tall and straight. (For men)
3588,4,流云披风,绣有流云图案的披风，做工精细，质地轻薄。（男用）,Flowing Cloud Cloak,CloudCloak,,CloudCloak,,"A cloak embroidered with cloud patterns, finely crafted and lightweight. (For men)"
3589,4,避邪披风,据说被得道之人施过符咒，不仅能够驱寒，还能抵御疾病。　（男用）,Ward Off Evil Cloak,,,Evil-Ward Cloak,,Reportedly enchanted by an enlightened one; not only wards off cold but also resists diseases. (Male)
3590,4,松绿锦袍,薄而挺的绵袍，上绣华丽花纹，在贵族子弟中很流行。（男用）,Pine Green Brocade Robe,ElegantRobe,,ElegantRobe,,"A thin yet stiff silk robe embroidered with luxurious patterns, very popular among noble youths. (For men)"
3591,4,浮云袍,做工精良，是很好的保暖衣装。　（男用）,Cloud Robe,,,Cloud Robe,,"Well-made, good warm clothing. (For men)"
3592,4,黑貂裘,珍贵的黑貂皮毛缝制而成，光可鉴人。（男用）,Black Mink Fur,,,Black Sable Fur,,"Sewn from precious black sable fur, glossy enough to reflect light. (Male use)"
3593,4,锦鳞背心,宫制的锦帛为底，上面镶嵌无数细小鳞甲片，在阳光下十分耀眼。（男用）,Brocade Scale Vest,,,Brocade Scale Vest,,"Made from palace-woven brocade as base, inlaid with countless tiny scale plates, dazzling in sunlight. (Male)"
3594,4,天师道袍,附有较强法力的法衣，具有驱魔避邪的功能。（男用）,Taoist Robe,TaoistRobe,,TaoistRobe,,"A ritual robe with strong magical power, capable of exorcising evil. (For men)"
3595,4,云纹细鳞甲,甲胄表面布满不同颜色的细鳞，远看恍如云纹，隐隐流动。（男用）,Cloud Fine Scale Armor,,,Cloud Scale Armor,,"Armor surface covered with fine scales of different colors, from afar looks like cloud patterns, faintly flowing. (For males)"
3596,4,金钢软丝甲,金钢抽丝编制而成的铠甲，坚固耐用而不沉重，是上好的防具。（男用）,Diamond Soft Silk Armor,,,Diamond Silk Armor,,"Armor woven from drawn steel threads, sturdy and durable yet not heavy, an excellent defensive gear. (Male)"
3597,4,翼云甲,此甲柔韧轻薄，穿上则凡俗兵器皆不能伤其身。（男用）,Wing Cloud Armor,,,Cloudwing Armor,,"This armor is supple and thin; when worn, mundane weapons cannot harm the body. (For men)"
3598,4,太极软甲,柔软处以特殊的手法编制而成，实则异常坚固，暗合太极以柔克刚之道。（男用）,Tai Chi Soft Armor,,,Taiji Soft Armor,,"Woven with special techniques in soft areas, yet remarkably sturdy, embodying the Taiji principle of softness overcoming hardness. (Male)"
3599,4,癸鬼袍,蕴含有鬼力的道袍，传说可沟通阴阳两界。（紫英）,Ghostly Robe,YinYangRobe,,YinYangRobe,,"A Taoist robe imbued with ghostly power, said to bridge the realms of yin and yang. (For Ziying)"
3600,4,鬼针胄,布满倒刺的铜制软甲，攻守兼备，令人防不胜防。（天河）,Ghost Needle Armor,BarbedArmor,,BarbedArmor,,"A copper armor covered in barbs, offering both offense and defense, making it hard to guard against. (Tianhe)"
3601,4,玄武战袍,取四灵“玄武”之名，乃是冀望此袍之强大灵力可与天地神物相媲美。（男用）,Black Tortoise Battle Robe,XuanwuArmor,,XuanwuArmor,,"Named after the Four Spirits' 'Black Tortoise,' this robe aspires to match the powerful spiritual energy of divine beings. (Male)"
3602,4,清阳太昭袍,袍身隐隐透出仙气，传说是仙女用霞彩织就，具无上神力。（紫英）,Clear Sun Tai Zhao Robe,,,Sunlight Robe,,"Robe faintly emits immortal aura. Legend says woven by fairy maidens from rosy clouds, possesses supreme divine power. (For Ziying)"
3603,4,乾坤甲胄,相传为神兵所穿护甲，集天地精华，蕴无上神力。（天河）,Qiankun Armor,,,Universe Armor,,"Legendary armor worn by divine weapons, gathering the essence of heaven and earth, containing supreme divine power. (Tianhe)"
3604,4,丝缎披风,上好的丝绸锦缎制成的披风，江南一带女子常备的服装。（女用）,Satin Cape,SilkCloak,,SilkCloak,,"A cloak made of high-quality silk brocade, a common garment for women in the Jiangnan region. (For women)"
3605,4,青丝绣衣,青丝绣成的短装，做工精细，纹样清丽。（女用）,Black Silk Embroidered Clothes,,,Green Silk Robe,,"Short attire embroidered with black silk, exquisite workmanship, elegant patterns. (For women)"
3606,4,轻纱罗衣,又轻又薄罗纱制成，纹理斑驳，飘逸秀丽。（女用）,Light Gauze Robe,SheerRobe,,SheerRobe,,"Made of light, thin gauze, Texture mottled, elegant and beautiful. (For women)"
3607,4,嵌玉披风,嵌有古玉的披风，由上等锦帛缝制而成，古玉温润圆滑，据说可以通灵。（女用）,Jade-Inlaid Cloak,,,Jade Cloak,,"A cloak inlaid with Ancient Jade, sewn from premium brocade. Ancient Jade is smooth and mellow, said to Channeling. (Female)"
3608,4,百花裙,橙色绫锦上有百花绣饰，皆为精致的苏绣，鲜活明艳。（女用）,Hundred Flowers Skirt,,,Flower Skirt,,"Orange silk brocade adorned with embroidered flowers, all exquisitely crafted Su embroidery, vivid and bright. (For women)"
3609,4,软烟罗裳,据说软烟罗的制造工艺已经失传很久，而这种衣服也变得极为珍贵。（女用）,Soft Mist Robe,,,Mist Robe,,"It is said the craftsmanship for making Soft Mist Silk has been lost for ages, and such clothing has become extremely rare. (Female)"
3610,4,凤纹披风,绣凤织锦，光彩夺目。（女用）　　　　,Phoenix Pattern Cape,PhoenixCloak,,PhoenixCloak,,"Phoenix-embroidered brocade, dazzlingly brilliant. (Female use)"
3611,4,白绫石榴裙,裙幅层层折叠，错落有致，犹如盛开的石榴花。（女用）,White Silk Pomegranate Skirt,BlossomDress,,BlossomDress,,"The skirt has layered, staggered folds, resembling a blooming pomegranate flower. (For women)"
3612,4,牙白绣金裙,质地细腻的绢纱，上有金线绣制纹样，层层叠叠，超然飘逸。（女用）,Ivory Embroidered Gold Skirt,,,Ivory Gold Skirt,,"Fine silk gauze with gold-thread embroidery, layered and ethereal, transcendent and graceful. (Female)"
3613,4,沁雪白绫衫,衣衫上坠有雪绒之花，穿上使人清心寡欲，可提高修行之人的内力。（女用）,Snow-Soaked White Silk Robe,,,Snow Silk Robe,,The garment is adorned with snow-flower fluff. Wearing it purifies desires and can enhance the inner strength of cultivators. (Female)
3614,4,青绮绫,稀有的绮绫混织服，该种纺织技艺已经失传，真品世间罕见。（女用）,Green Brocade Ribbon,MixedTunic,,MixedTunic,,"A rare garment of mixed brocade and silk; the weaving technique is lost, genuine pieces are extremely rare. (Female)"
3615,4,霓裳羽衣,传说中的舞衣，舞动时虹霓万丈，舞者轻盈若飞，似幻似仙。（女用）,Rainbow Feather Garment,,,RainbowFeatherDress,,"A legendary dance dress; when worn, rainbows shimmer, making the dancer light as flying, ethereal and immortal. (Female)"
3616,4,鲛绡,曾是海底鲛人所织、献给龙王的贡品，不知缘何制法流落人间。（女用）,Mermaid Silk,SeaSilkTunic,,SeaSilkTunic,,Once woven by merfolk of the sea as tribute to the Dragon King; somehow its crafting method was lost to the mortal realm. (Female)
