file,length_offset,text_offset,byte_length,original_text,translation
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97028,97032,76,云天河：（这支剑……奇怪～怎么还会发光？……那我以后夜里不是都不用点灯了？）,Yun Tianhe: (This sword... Weird~ why is it still glowing?... Does that mean I won't need a light at night anymore?)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97117,97121,32,云天河：（啊！光又消失了？……）,Yun Tianhe: (Ah! The light disappeared again?...)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97170,97174,88,云天河：（死猪妖不但会变人形、会说人话，还使出奇怪的妖法，按爹说的，道行已经挺高了……）,"Yun Tianhe: (Dead pig fiend not only has human form, speaks human language, but uses strange demon arts. According to Father, its cultivation is quite high...)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97271,97275,104,云天河：（……不怕，就算弓箭对付不了它，还有爹教我的剑术，好在木剑我也一直带在身边～那猪妖绝对逃不掉！）,"Yun Tianhe: (...Not afraid, even if arrows can't deal with it, there's still the sword techniques Father taught me. Good thing I've always kept the wooden sword with me~ That pig fiend definitely won't escape!)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97397,97401,72,云天河：（整个石沉溪洞都跑遍了，也没瞧见那只猪妖，难不成逃到洞外去了？）,"Yun Tianhe: (Searched the entire Stone Sink Cave, didn't see that pig fiend, could it have escaped outside the cave?)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97482,97486,76,云天河：（呼～但愿爹在阴间偶尔打打瞌睡，没瞧见这里发生的事，不然我可惨了。）,"Yun Tianhe: (Whew~ I hope Father dozes off occasionally in the Netherworld and didn't see what happened here, or I'm in trouble.)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97571,97575,70,云天河：（爹说他和娘葬在洞中，连我都不清楚在哪，他总是神神秘秘的——）,"Yun Tianhe: (My Father said he and Mother are buried in the cave, even I don't know exactly where; he's always been so mysterious-)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97662,97666,30,云天河：（石沉溪洞……爹……）,Yun Tianhe: (Stone Sink Cave... Father...)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97730,97734,18,云天河：……唉……,Yun Tianhe: ... Sigh...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97761,97765,72,云天河：……我命在我也，不在于天……似懂非懂，有点难懂……还是别懂了……,"Yun Tianhe: ... My fate lies with me, not with heaven... I sort of get it, but it's hard to understand... better not to understand..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97863,97867,32,少女：啊！！怎么、你比我先到？！,"Young Girl: Ah!! How, how did you get here before me?!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97908,97912,34,云天河：来的正好，看你这回往哪逃！,"Yun Tianhe: Perfect timing, see where you'll run this time!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97955,97959,22,少女：烟雨夺——咦？！,Young Girl: Misty Ra-Huh?!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,97990,97994,36,少女：不可能！我明明记得还剩一个！！,Young Girl: Impossible! I clearly remember there was one left!!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98039,98043,66,云天河：死猪妖，别想再用古怪的妖法！今天的晚饭已经决定！就是你了！,"Yun Tianhe: Damn pig fiend, don't think you can use your weird demon arts again! Tonight's dinner is decided! It's you!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98171,98175,18,云天河：怎么会……,Yun Tianhe: How could...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98216,98220,18,云天河：这把剑……,Yun Tianhe: This sword...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98255,98259,44,少女：可恶！还好我闪得快！真想要我的命吗？！,Young Girl: Damn it! Good thing I dodged fast! Did you really want to kill me?!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98312,98316,62,少女：你到底是哪里来的野人啊！带着一把怪剑，还会自己飞来飞去！,"Young Girl: Where on earth did you come from, you barbarian! Carrying a strange sword that flies around by itself!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98387,98391,46,云天河：我、我也不知道，以前从来没有这样过……,"Yun Tianhe: I, I don't know either, never happened before..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98446,98450,36,云天河：又是发光，又是自己飞回来……,"Yun Tianhe: Glowing, flying back on its own..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98495,98499,38,少女：你刚才说我什么？你说的最后一句！,Young Girl: What did you just say about me? The last thing you said!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98553,98557,22,云天河：你是我的晚饭！,Yun Tianhe: You're my dinner!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98588,98592,32,少女：不对，是你说的倒数第二句！,"Young Girl: No, it's the second-to-last sentence you said!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98633,98637,18,云天河：你是猪妖！,Yun Tianhe: You're a pig fiend!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98672,98676,124,少女：你你你——！！洗干净你的耳朵听好了，本姑娘“韩菱纱”，好歹也算一个如花似玉的少女，几时成了你嘴里的“猪腰”、“猪肝”！,"Young Girl: You, you, you-!! Listen carefully with clean ears! This young lady has a name 'Han Lingsha'. I am a blooming and jade-like maiden no less. When did I become the 'pig thing' or 'pig wing' in your mouth!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98809,98813,16,云天河：少、女？,"Yun Tianhe: Young, lady?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98838,98842,58,韩菱纱：而且还说我是你的晚饭，下流淫贼！你想对我做什么？！,"Han Lingsha: And you even said I was your dinner, you lecherous scoundrel! What do you want to do to me?!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98909,98913,36,云天河：你……是女人？爹说过的那种？,Yun Tianhe: You... are a woman? The kind Father talked about?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,98958,98962,46,韩菱纱：越说越过份！你倒是说说我哪点不像女人！,"Han Lingsha: You're going too far! Tell me, what part of me isn't like a woman!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99024,99028,38,云天河：……是女人，那就不是猪妖啰……,"Yun Tianhe: ...  a woman, not a pig fiend then..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99075,99079,98,韩菱纱：（……骗、骗人的吧？这人到底是从哪冒出来的呆子，好像连女人也没见过，看起来又不像假的……）,"Han Lingsha: (...No way, is this for real? Where did this clueless fool come from? He acts like he's never even seen a woman before, and it doesn't seem fake...)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99211,99215,14,山猪：…………,Wild Boar: ............
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99238,99242,16,云天河：…………,Yun Tianhe: ......
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99267,99271,24,云天河：山、山猪…………,Yun Tianhe: Boar...the boar?...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99312,99316,16,韩菱纱：…………,Han Lingsha: ......
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99358,99362,74,韩菱纱：哦～我明白了，你追着山猪进山洞，后来遇上我，所以就弄错了，对不对？,"Han Lingsha: Oh~ I get it. You chased the boar into the cave, then met me, so you got confused, right?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99453,99457,36,云天河：我弄错了？……好、好像是……,"Yun Tianhe: I got it wrong?... Oh, seems like I did..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99502,99506,58,云天河：(奇怪……她不是猪妖，那门的机关是哪只猪打开的？！),"Yun Tianhe: (Strange... she's not a pig fiend, so which pig opened the door mechanism?!)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99581,99585,28,云天河：你，刚才有没有受伤？,"Yun Tianhe: You, were you hurt just now?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99622,99626,66,韩菱纱：哼，可算想起来了，还不过来扶我一把，闪得太急，脚都扭到了。,"Han Lingsha: Hmph, finally remembered. Come over and give me a hand up. I dodged too quickly and twisted my ankle."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99701,99705,14,云天河：扶你？,Yun Tianhe: Give you a hand?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99728,99732,52,云天河：那不行！我爹说过，男女授受不亲，不能乱摸的。,"Yun Tianhe: That won't do! My father said, men and women should not touch each other casually."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99801,99805,49,韩菱纱：你！想得美！谁让你摸了，是扶、扶我一下！ ,"Han Lingsha: You! Dream on! Who said you could touch me? It's to give a hand, to help me up!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99870,99874,34,云天河：好吧，我这可是为了帮你……,"Yun Tianhe: Alright, I'm doing this to help you..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99917,99921,18,韩菱纱：哼～谢啦。,Han Lingsha: Hmph~ Thanks.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,99948,99952,94,韩菱纱：我说，看你这样，好像完全没见过什么世面，连女人都没见过，应该也不是山脚下村子里的人吧？,"Han Lingsha: I say, looking at you, it seems you've never seen much of the world, not even women. You probably aren't from the village at the foot of the mountain either, right?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100055,100059,24,云天河：我一直住在山上。,Yun Tianhe: I've always lived in the mountains.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100092,100096,54,韩菱纱：难怪从没见过女孩子～真不知道你爹怎么和你说的！,Han Lingsha: No wonder you've never seen a girl before~ I really don't know what your father told you!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100159,100163,16,云天河：说什么？,Yun Tianhe: Told what?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100188,100192,36,韩菱纱：说“男女授受不亲”之类的啊。,Han Lingsha: Something like 'men and women not touching each other'.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100245,100249,72,云天河：他、我爹说，女孩子的胸和男孩子的不一样，软软的，不可以随便乱摸。,"Yun Tianhe: Well, my father said, a girl's chest is different from a boy's, soft, we can't just touch it casually."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100330,100334,90,韩菱纱：你！淫贼啊！原以为你爹是个儒酸文人，竟然教出你这种傻瓜，没想到也是个胡言乱语之徒。,"Han Lingsha: You! Lecher! I thought your father was a pedantic scholar, raising a fool like you, but it turns out he's also a raving lunatic."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100433,100437,84,云天河：住口！虽然我听不太懂你在说什么，不过不许说我爹的坏话，他是天底下最厉害的人！,"Yun Tianhe: Shut up! I don't really understand what you're saying, but don't speak ill of Father; he's the most amazing person in the world!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100537,100541,42,韩菱纱：好了好了～别气，算我讲错总行了吧？,"Han Lingsha: Alright, alright~ Don't be mad, I admit I am wrong, okay?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100592,100596,76,韩菱纱：你一直说这个山洞叫“石沉溪洞”，是不是知道这里的秘密？告诉我好不好？,"Han Lingsha: You always call this cave 'Stone Sink Cave'. Do you know its secret? Tell me, please?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100681,100685,60,云天河：你是故意闯进来的？我爹说过，不能让别人进到石沉溪洞。,Yun Tianhe: Did you break in on purpose? Father said not to let anyone into Stone Sink Cave.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100754,100758,66,云天河：看来猪没开机关，是你把机关打开闯进来的，你到底想干什么？！,Yun Tianhe: Looks like the pig didn't trigger the mechanism. You opened it and barged in. What exactly do you want?!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100833,100837,14,韩菱纱：我……,Han Lingsha: I...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100867,100871,26,云天河：（嗯？！有杀气！）,Yun Tianhe: (Hmm?! Killing intent!)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100906,100910,40,云天河：（难道…………这女的要杀我？！）,Yun Tianhe: (Could it be... this woman wants to kill me?!)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,100959,100963,51,韩菱纱：喂喂喂～怎么说的好好的，你翻脸跟翻书一样？ ,Han Lingsha: Hey hey hey~ How come you're suddenly turning on me like flipping a page in a book?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101023,101027,56,韩菱纱：洞口那里又没写不让人进，我哪知道呀，你说对不对？,"Han Lingsha: There was no sign at the cave entrance saying we couldn't enter, so how was I supposed to know? Right?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101092,101096,44,云天河：话不能这么说吧……你、你到底想怎样？,"Yun Tianhe: Can't say that... You, what exactly do you want?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101149,101153,70,韩菱纱：这样好了，我告诉你我来这儿的原因，你就说出你知道的秘密好不好？,"Han Lingsha: How about this, I'll tell you why I'm here, and you tell me the secret you know, okay?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101240,101244,32,韩菱纱：这就扯平了，谁也不吃亏～,"Han Lingsha: That evens things out, no one loses~"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101285,101289,14,云天河：我——,Yun Tianhe: I-
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101321,101325,66,？？：嘘为云雨，嘻为雷霆。通天彻地，出幽入明，千变万化，何者非我！,"???: A whisper becomes cloud and rain, a laugh becomes thunder. Piercing heaven and earth, emerging from darkness into light, ever-changing-what is not me!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101427,101431,34,韩菱纱：呀！这、这是什么？！鬼吗？,Han Lingsha: Yikes! Wh-what is this?! A ghost?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101474,101478,40,云天河：……不知道，难道杀气是他发出的？,"Yun Tianhe: ... I don't know, could the killing intent be coming from him?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101527,101531,40,韩菱纱：我、我看他好像很凶，我们先跑吧！,"Han Lingsha: I-I think he looks really fierce, let's run first!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101580,101584,42,云天河：为什么要跑？我爹凶起来比他凶多了。,Yun Tianhe: Why run? My Father gets fiercer than him when he's angry.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101643,101647,64,？？：吾乃魁召，奉主人之命镇守此地，凡擅自闯入者，令其立毙当场！,"??: I am Kuizhao, ordered by my master to guard this place. Any who trespass shall be slain on the spot!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101720,101724,38,韩菱纱：立毙当场？！山顶野人，小心啦！,"Han Lingsha: Slain on the spot?! Mountain barbarian, be careful!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101809,101813,72,韩菱纱：不行！这样砍上几百年也伤不了他！只好用那一招了，死马当活马医……,"Han Lingsha: No good! Chopping like this for centuries won't harm him! Have to use that move, as a desperate gamble..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,101894,101898,106,韩菱纱：喂，你静下心来听我念咒，<colour red=255 green=187 blue=0 alpha=255>我们一起用仙术对付他！</colour>,"Han Lingsha: Hey, calm down and listen to me chant the spell,<colour red=255 green=187 blue=0 alpha=255> let's use immortal arts together to deal with him!</colour>"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102013,102017,28,云天河：什么仙术？我不会啊！,Yun Tianhe: What immortal arts? I don't know any!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102054,102058,62,韩菱纱：呆子～所以才让你静下心来听我念，临阵磨枪，总比等死强！,Han Lingsha: Silly~ That's why I want you to calm down and listen to me recite. Sharpening your spear in front of battle is better than waiting to die!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102129,102133,118,韩菱纱：道贯三才为一气耳，天以气而运行，地以气而发生，阴阳以气而惨舒，风雷以气而动荡，人身以气而呼吸，道法以气而感通。,"Han Lingsha: The Dao permeates the three powers-heaven, earth, and humanity-as one Qi. Heaven moves by Qi, earth generates by Qi, yin and yang contract and expand by Qi, wind and thunder surge by Qi, the human body breathes by Qi, and Taoist arts connect by Qi."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102260,102264,42,云天河：你、你念慢一点，太快了我记不下来！,"Yun Tianhe: Y-you, say it slower, too fast, I can't remember!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102315,102319,108,韩菱纱：水之润下，无孔不入；火之炎上，无物不焚；雷之肃敛，无坚不摧；风之肆拂，无阻不透；土之养化，无物不融！,"Han Lingsha: Water moistens downward, seeping everywhere; fire blazes upward, burning all; thunder gathers sternly, crushing all hardness; wind sweeps freely, penetrating all barriers; earth nurtures and transforms, merging with all things!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102436,102440,58,韩菱纱：唉，不是让你静下心来吗？不要这么乱七八糟好不好……,"Han Lingsha: Sigh, didn't I tell you to calm down? Must you be such a mess...?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102507,102511,32,韩菱纱：好了！我们尽全力打倒他！,Han Lingsha: Alright! Let's give it our all to defeat him!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102601,102605,98,韩菱纱：（……不行，太厉害了……我心愿还没了，怎么能死在这里……还是和来路不明的山顶野人一起……）,"Han Lingsha: (...No, this is too much... I haven't fulfilled my wish yet, how can I die here... and with an unknown mountain barbarian here...)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102712,102716,34,云天河：厉害……我跟你拼了！看箭！,Yun Tianhe: Impressive... I'll fight you to the death! Take this arrow!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102759,102763,20,韩菱纱：你…………！,Han Lingsha: You...... !
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102792,102796,14,魁召：望舒……,Kuizhao: Wangshu...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102819,102823,22,魁召：原来是主人驾临。,Kuizhao: So it is Master who has arrived.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102854,102858,20,云天河：啊！主人？！,Yun Tianhe: Ah! Master?!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102887,102891,78,魁召：无怪乎吾感应到“望舒之气”而醒觉，初时以为错认，故言行犯上，望主人恕罪。,"Kuizhao: No wonder I sensed 'Wangshu' and awoke. At first I thought I was mistaken, hence my disrespectful words and actions. I beg my master's forgiveness."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,102978,102982,16,魁召：魁召告退。,Kuizhao: Kuizhao takes my leave.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103007,103011,20,韩菱纱：……消失了？,Han Lingsha: ... Disappeared?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103040,103044,20,云天河：呼～好险……,Yun Tianhe: Whew~ that was close...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103080,103084,58,韩菱纱：……你好厉害～原来你早知道那个怪物害怕弓和……剑！,Han Lingsha: ... You're amazing~ So you already knew that monster was afraid of bows and... swords!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103151,103155,64,云天河：它害不害怕我可不知道，反正用砍的打不赢，射死它不就得了？,"Yun Tianhe: Whether it's scared or not, I don't know. Anyway, if you can't win by slashing, just shoot it dead, right?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103228,103232,56,韩菱纱：什么嘛……搞半天还是傻瓜一个，以为你多威风呢……,"Han Lingsha: What the... after all that, you're still a fool. I thought you were so impressive..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103297,103301,14,云天河：什么？,Yun Tianhe: What?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103324,103328,62,韩菱纱：没、没有啦，我是说这个山洞够古怪的，居然会有这种东西。,"Han Lingsha: N-no, I mean this cave is strange enough to have something like this."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103408,103412,12,云天河：……,Yun Tianhe: ...
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103433,103437,70,韩菱纱：喂，怎么了？好歹刚才那么威风，现在又变呆呆的，不会是吓傻了吧？,"Han Lingsha: Hey, what's wrong? You were so impressive just now, now you're all dazed again, not scared silly, are you?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103516,103520,74,韩菱纱：<colour red=255 green=187 blue=0 alpha=255>……是密室？！</colour>,Han Lingsha: <colour red=255 green=187 blue=0 alpha=255>...A secret chamber?!</colour>
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103603,103607,82,韩菱纱：这地上的……好像是……道家的符咒！这么说来，刚才那个是用法力驱使的符灵？！,"Han Lingsha: This on the ground... looks like... a Taoist talisman! So, that earlier thing was a talisman spirit driven by magic?!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103706,103710,46,韩菱纱：太好了！我就知道剑仙的传说果然是真的！,Han Lingsha: Great! I knew the Sword Immortal legends were true!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103765,103769,18,云天河：剑……仙？,Yun Tianhe: Sword... immortal?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103796,103800,54,韩菱纱：是啊，就是仙人嘛，会很多法术，飞来飞去的那种～,"Han Lingsha: Yes, they're immortals, know many spells, the kind that fly around~"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103863,103867,90,韩菱纱：你爹说不定也是剑仙的有缘之人，他不许别人进这个山洞，想必是担心泄露了剑仙的行踪吧？,"Han Lingsha: Your father might also be someone destined to meet the Sword Immortal. He forbids others from entering this cave, probably worried about revealing the Sword Immortal's whereabouts, right?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,103966,103970,38,云天河：……这我不知道，爹可没交代过。,"Yun Tianhe: ... I don't know about that, Father never mentioned it."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,104017,104021,74,韩菱纱：哎～一问三不知，真没劲！可我瞧你那支古怪的剑，也许就是剑仙之物呢。,"Han Lingsha: Sigh~ You know nothing, how dull! But that strange sword of yours might be an immortal's artifact."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,104104,104108,38,云天河：你怎么知道？连我爹都没交代过。,Yun Tianhe: How do you know? Even my father never told me.
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,104155,104159,46,韩菱纱：嘻嘻，傻瓜，不然刚才那些符灵干嘛怕它？,"Han Lingsha: Hehe, silly, otherwise why were those talisman spirits afraid of it?"
